key,ru
account.securityHistory.event.passwordLoginSucceeded,A password sign-in succeeded
account.securityHistory.event.passwordRecovered,The password was recovered
account.securityHistory.event.passwordRecoveryRequested,Password recovery was requested
account.securityHistory.event.passwordUnlocked,The password account was unlocked
account.securityHistory.event.passwordWhatsappVerified,The WhatsApp sign-in number was verified
account.securityHistory.event.recoveryCodeUsed,A recovery code was used
account.securityHistory.event.recoveryCodesGenerated,Recovery codes were generated
account.securityHistory.event.refreshTokenFamilyRevoked,A refresh-token family was revoked
account.securityHistory.event.sessionCreated,A session was created
account.securityHistory.event.sessionRevoked,A session was revoked
account.securityHistory.event.sessionRotated,A session was renewed
account.securityHistory.event.sessionsRevoked,All sessions were revoked
account.securityHistory.event.totpEnrollmentConfirmed,An authenticator was confirmed
account.securityHistory.event.totpEnrollmentStarted,Authenticator setup started
account.securityHistory.event.totpRemoved,An authenticator was removed
account.securityHistory.event.totpVerified,An authenticator challenge succeeded
account.securityHistory.loadMore,Load more security activity
account.securityOverview.backupCodeCount,{count} backup codes remaining
account.securityOverview.backupCodes,Backup codes
account.securityOverview.email,Email
account.securityOverview.emailMissing,No verified email
account.securityOverview.emailVerified,{email} verified
account.securityOverview.passkeyCount,{count} passkeys configured
account.securityOverview.passkeys,Passkeys
account.securityOverview.password,Password
account.securityOverview.passwordMissing,No password set
account.securityOverview.passwordSet,Password set
account.securityOverview.phone,Phone
account.securityOverview.phoneMissing,No verified phone
account.securityOverview.phoneVerified,{phone} verified
account.sessionExpired,Your session has expired
account.sessions.current,Current session
account.sessions.description,Review devices where your account is signed in and revoke any session you do not recognize.
account.sessions.empty,No active sessions
account.sessions.lastUsed,Last used {date}
account.sessions.revoke,Revoke session
account.sessions.revokeConfirm,Revoke this session immediately?
account.sessions.unknownDevice,Unknown device
account.status.available,Available
account.status.configured,Configured
account.status.notConfigured,Not configured
account.status.unavailable,Unavailable
admin.common.confirmTitle,Подтвердите это действие
admin.common.next,Далее
admin.common.pagination,Постраничная навигация
admin.common.permission,У вас нет разрешения просматривать эти административные данные.
admin.common.previous,Назад
admin.events.actor,Субъект
admin.events.aggregate,Агрегат
admin.events.count,Событий: {count}
admin.events.description,"Неизменяемая активность безопасности текущего realm, начиная с самой новой."
admin.events.empty,Ни одно событие не соответствует текущему фильтру.
admin.events.hide,Скрыть полезную нагрузку
admin.events.occurred,Произошло
admin.events.payload,Полезная нагрузка
admin.events.redactionNotice,Секретные значения скрываются до сохранения события.
admin.events.search,Поиск событий
admin.events.searchPlaceholder,"Фильтр по типу, агрегату или субъекту"
admin.events.show,Показать полезную нагрузку
admin.events.systemActor,Система
admin.events.title,События аудита
admin.events.type,Тип события
admin.impersonation.activeTitle,Active impersonation
admin.impersonation.actor,Administrator
admin.impersonation.assuranceRequired,Impersonating a user requires multi-factor authentication. Sign in again with a second factor to continue.
admin.impersonation.assuranceRequiredTitle,Stronger sign-in required
admin.impersonation.auditLink,View the audit events for this impersonation
admin.impersonation.bannerLabel,Impersonation in progress
admin.impersonation.bannerSummary,{actor} is acting as {subject}. This session ends in {remaining}.
admin.impersonation.description,"Act as another person for a short, recorded support session. A reason and a bounded duration are always required."
admin.impersonation.duration,Duration
admin.impersonation.durationHint,"Impersonation always ends automatically, after at most fifteen minutes."
admin.impersonation.durationInvalid,Choose a duration between one second and fifteen minutes.
admin.impersonation.durationMinutes,{count} minutes
admin.impersonation.end,End impersonation
admin.impersonation.endConfirm,End the impersonation of {subject} now?
admin.impersonation.endedNotice,The impersonation session was ended.
admin.impersonation.expires,Ends
admin.impersonation.expiringSoon,This impersonation ends in under a minute.
admin.impersonation.nestedRejected,You are already acting as another user. End the current impersonation before starting a new one.
admin.impersonation.nestedRejectedTitle,Nested impersonation is not allowed
admin.impersonation.noOrganization,No organization
admin.impersonation.organization,Organization
admin.impersonation.organizationHint,Optional. Restrict the session to the permissions the person holds in one organization.
admin.impersonation.permissionDenied,You do not have permission to impersonate users in this realm.
admin.impersonation.permissionDeniedTitle,Доступ недоступен
admin.impersonation.reason,Reason
admin.impersonation.reasonHint,Recorded in the audit trail and shown to the person you act as.
admin.impersonation.reasonRequired,Enter a reason between 3 and 256 characters.
admin.impersonation.remaining,Remaining
admin.impersonation.remainingValue,{minutes}:{seconds}
admin.impersonation.selfRejected,You cannot impersonate your own account.
admin.impersonation.start,Start impersonation
admin.impersonation.startConfirm,Start acting as {subject}? Everything you do will be recorded against your own identity.
admin.impersonation.startedAt,Started
admin.impersonation.startedNotice,You are now acting as {subject}.
admin.impersonation.subject,Acting as
admin.impersonation.target,User to impersonate
admin.impersonation.targetRequired,Choose the user you want to act as.
admin.impersonation.title,Impersonation
admin.impersonation.userAction,Impersonate this user
admin.machine.assuranceRequired,"Управление машинными пользователями и их учётными данными требует более надёжного и недавнего входа. Войдите снова, чтобы продолжить."
admin.machine.assuranceRequiredTitle,Требуется более надёжный вход
admin.machine.created,Создано
admin.machine.credentials.apiKeyCreated,Ключ API выпущен.
admin.machine.credentials.description,"Учётные данные, которые машинный пользователь предъявляет для получения токена доступа. Хранятся только их метаданные, но никогда само значение."
admin.machine.credentials.empty,У этого машинного пользователя пока нет учётных данных.
admin.machine.credentials.expires,Истекает
admin.machine.credentials.expiresHint,"Оставьте поле пустым, чтобы выпустить учётные данные без срока действия."
admin.machine.credentials.expiryInvalid,"Введите допустимую дату окончания срока действия или оставьте поле пустым, чтобы учётные данные не истекали."
admin.machine.credentials.expiryPast,Выберите дату окончания срока действия в будущем.
admin.machine.credentials.issue,Выпустить учётные данные
admin.machine.credentials.issueDescription,Выпустите персональный токен доступа или ключ API. Значение показывается один раз и не может быть восстановлено.
admin.machine.credentials.kind,Тип учётных данных
admin.machine.credentials.kindAccessToken,Токен доступа
admin.machine.credentials.kindApiKey,Ключ API
admin.machine.credentials.kindClientSecret,Секрет клиента
admin.machine.credentials.kindHint,Персональный токен доступа действует непосредственно от имени машинного пользователя. Ключ API предназначен для одной интеграции.
admin.machine.credentials.kindToken,Персональный токен доступа
admin.machine.credentials.name,Имя
admin.machine.credentials.nameRequired,"Введите название, чтобы позже распознать эти учётные данные."
admin.machine.credentials.neverExpires,Не истекает
admin.machine.credentials.onceWarning,Выпущенное значение показывается один раз. Сохраните его перед закрытием этого окна; получить его снова будет невозможно.
admin.machine.credentials.revoke,Отозвать
admin.machine.credentials.revokeConfirm,"Отозвать эти учётные данные? Всё, что их использует, сразу перестанет работать."
admin.machine.credentials.revoked,Учётные данные отозваны.
admin.machine.credentials.scopes,Области
admin.machine.credentials.scopesHint,"Разделяйте области пробелами или запятыми. Оставьте пустым, чтобы унаследовать области машинного пользователя."
admin.machine.credentials.stateActive,Активны
admin.machine.credentials.stateExpired,Истекли
admin.machine.credentials.stateRevoked,Отозваны
admin.machine.credentials.subject,Машинный пользователь
admin.machine.credentials.title,Учётные данные и токены
admin.machine.credentials.tokenCreated,Персональный токен доступа выпущен.
admin.machine.credentials.unnamed,Учётные данные без имени
admin.machine.crossTenant,Этот машинный пользователь принадлежит другому realm и здесь недоступен.
admin.machine.lifecycle.activate,Активировать
admin.machine.lifecycle.deactivate,Деактивировать
admin.machine.lifecycle.description,Деактивация лишает все учётные данные возможности проходить аутентификацию. Удаление необратимо и не может быть отменено.
admin.machine.lifecycle.remove,Удалить машинного пользователя
admin.machine.lifecycle.removeConfirm,Удалить этого машинного пользователя? Все его учётные данные сразу перестанут работать и не могут быть восстановлены.
admin.machine.lifecycle.title,Жизненный цикл
admin.machine.permissionDenied,У вас нет разрешения просматривать или изменять машинных пользователей в этом realm.
admin.machine.permissionDeniedTitle,Доступ недоступен
admin.machine.secret.acknowledge,Я сохранил секрет
admin.machine.secret.apiKeyTitle,Новый ключ API
admin.machine.secret.clientId,Идентификатор клиента
admin.machine.secret.clientTitle,Новый секрет клиента
admin.machine.secret.copied,Скопировано в буфер обмена
admin.machine.secret.copy,Копировать секрет
admin.machine.secret.copyFailed,Буфер обмена недоступен. Выделите и скопируйте значение вручную.
admin.machine.secret.description,Секрет клиента позволяет этому машинному пользователю обменивать учётные данные клиента на токен доступа. Он хранится только для записи и может быть лишь заменён.
admin.machine.secret.once,"Это единственный раз, когда показывается значение для {name}. Сохраните его сейчас; восстановить его невозможно."
admin.machine.secret.redacted,Сохранён и скрыт
admin.machine.secret.rotate,Заменить секрет клиента
admin.machine.secret.rotateConfirm,Ротировать секрет клиента? Текущий секрет сразу перестанет работать и не может быть восстановлен.
admin.machine.secret.rotated,Секрет клиента заменён.
admin.machine.secret.title,Секрет клиента
admin.machine.secret.tokenTitle,Новый персональный токен доступа
admin.machine.secret.value,Значение секрета
admin.machine.status,Статус
admin.machine.statusValue.active,Активен
admin.machine.statusValue.inactive,Неактивен
admin.machine.statusValue.removed,Удалён
admin.machine.updated,Последнее обновление
admin.machine.users.create,Создать машинного пользователя
admin.machine.users.createDescription,Создайте нечеловеческую личность для службы или интеграции. Её секрет клиента показывается один раз.
admin.machine.users.createSecretHint,Идентификатор клиента и секрет клиента выпускаются немедленно. Секрет показывается один раз и не может быть восстановлен.
admin.machine.users.created,Машинный пользователь создан.
admin.machine.users.description,"Нечеловеческие личности, которые проходят аутентификацию в этом realm с помощью учётных данных клиента, токенов или ключей API."
admin.machine.users.detailTitle,Сведения о машинном пользователе
admin.machine.users.displayName,Отображаемое имя
admin.machine.users.empty,В этом realm пока нет машинных пользователей.
admin.machine.users.identifier,Идентификатор машинного пользователя
admin.machine.users.invalid,Введите отображаемое имя и имя пользователя и используйте только допустимые значения областей.
admin.machine.users.lifecycleChanged,Статус машинного пользователя изменён.
admin.machine.users.missingId,Для этого раздела необходимо выбрать машинного пользователя.
admin.machine.users.noScopes,Нет областей
admin.machine.users.scopes,Области
admin.machine.users.scopesHint,Разделяйте области пробелами или запятыми. Области сопоставляются точно.
admin.machine.users.search,Поиск машинных пользователей
admin.machine.users.title,Машинные пользователи
admin.machine.users.userName,Имя пользователя
admin.machine.users.userNameHint,Используется как идентификатор клиента при обмене учётных данных клиента.
admin.navigation.description,Choose an administration resource
admin.navigation.hide,Hide sidebar
admin.navigation.label,Администрирование
admin.navigation.title,Administration navigation
admin.oidc.assuranceRequired,"Для управления настройками OpenID Connect требуется более надёжный и недавний вход. Войдите снова, чтобы продолжить."
admin.oidc.assuranceRequiredTitle,Требуется более надёжный вход
admin.oidc.clients.consent,Согласие
admin.oidc.clients.consentRequired,Требуется
admin.oidc.clients.consentSkipped,Не требуется
admin.oidc.clients.create,Зарегистрировать клиента
admin.oidc.clients.createDescription,"Зарегистрируйте приложение, которое выполняет вход пользователей через OpenID Connect. Конфиденциальный клиент получает секрет один раз."
admin.oidc.clients.created,Клиент зарегистрирован.
admin.oidc.clients.description,"Приложения, которые аутентифицируют пользователей через OpenID Connect в этой области."
admin.oidc.clients.detailTitle,Сведения о клиенте OIDC
admin.oidc.clients.empty,В этой области ещё не зарегистрировано ни одного клиента OpenID Connect.
admin.oidc.clients.exactMatchHint,"По одному URI в строке. Каждое перенаправление сверяется точно, поэтому подстановочные знаки и различия в окончании отклоняются."
admin.oidc.clients.identifier,Идентификатор клиента
admin.oidc.clients.invalid,"Введите имя клиента, хотя бы один точный URI перенаправления и хотя бы одну область."
admin.oidc.clients.lifecycleChanged,Состояние клиента изменено.
admin.oidc.clients.missingId,Для этого раздела необходимо выбрать клиента OIDC.
admin.oidc.clients.name,Имя клиента
admin.oidc.clients.postLogoutUris,URI перенаправления после выхода
admin.oidc.clients.redirectUris,URI перенаправления
admin.oidc.clients.removeConfirm,"Удалить этого клиента OIDC? Приложения, использующие его, сразу перестанут работать."
admin.oidc.clients.requireConsent,Просить пользователя подтвердить это приложение
admin.oidc.clients.saved,Клиент сохранён.
admin.oidc.clients.scopes,Разрешённые области доступа
admin.oidc.clients.search,Поиск клиентов
admin.oidc.clients.settingsDescription,"Управляйте именем клиента, точными URI перенаправления, разрешёнными областями доступа и обработкой согласия."
admin.oidc.clients.settingsTitle,Настройки клиента
admin.oidc.clients.statusValue.active,Активна
admin.oidc.clients.statusValue.inactive,Неактивен
admin.oidc.clients.statusValue.removed,Удалена
admin.oidc.clients.title,Клиенты OpenID Connect
admin.oidc.clients.trusted,Доверенный
admin.oidc.clients.trustedHint,Доверенный клиент полностью пропускает экран согласия. Отмечайте как доверенные только собственные приложения.
admin.oidc.clients.type,Тип клиента
admin.oidc.clients.typeConfidential,Конфиденциальный
admin.oidc.clients.typeHint,"Конфиденциальный клиент хранит секрет на сервере. Публичный клиент, например мобильное или одностраничное приложение, этого не может."
admin.oidc.clients.typePublic,Публичный
admin.oidc.confirmTitle,Подтвердите это изменение
admin.oidc.consents.client,Приложение
admin.oidc.consents.description,"Приложения, которые пользователь подтвердил. Отзыв согласия приведёт к повторному запросу подтверждения приложения."
admin.oidc.consents.empty,Этот пользователь пока не подтвердил ни одного приложения.
admin.oidc.consents.granted,Подтверждено
admin.oidc.consents.revokeConfirm,Отозвать это согласие? Пользователя снова попросят одобрить приложение.
admin.oidc.consents.revoked,Согласие отозвано.
admin.oidc.consents.title,Согласия приложений
admin.oidc.consents.user,Пользователь
admin.oidc.created,Создано
admin.oidc.crossTenant,Этот ресурс принадлежит другой области и здесь недоступен.
admin.oidc.documents.authorizationEndpoint,Конечная точка авторизации
admin.oidc.documents.copied,Скопировано
admin.oidc.documents.copy,Копировать документ
admin.oidc.documents.description,"Документы протокола, которые Authworks публикует для этой области, ровно в том виде, в каком их читает клиентская библиотека."
admin.oidc.documents.discoveryDescription,"Метаданные поставщика OpenID, отдаваемые с конечной точки well-known."
admin.oidc.documents.discoveryTitle,Документ обнаружения
admin.oidc.documents.empty,Для этой области ещё не опубликованы документы протокола.
admin.oidc.documents.endSessionEndpoint,Конечная точка завершения сеанса
admin.oidc.documents.issuer,Издатель
admin.oidc.documents.jwksDescription,"Открытые ключи, которые проверяют токены, выданные этой областью."
admin.oidc.documents.jwksTitle,Набор веб-ключей JSON
admin.oidc.documents.jwksUri,URI JWKS
admin.oidc.documents.open,Открыть конечную точку
admin.oidc.documents.readOnly,Эти документы формируются из конфигурации области и ключей подписи. Их нельзя изменить здесь.
admin.oidc.documents.showRaw,Показать исходный документ
admin.oidc.documents.title,Документы протокола
admin.oidc.documents.tokenEndpoint,Конечная точка токена
admin.oidc.documents.userinfoEndpoint,Конечная точка userinfo
admin.oidc.keys.algorithm,Алгоритм
admin.oidc.keys.create,Добавить ключ
admin.oidc.keys.created,Опубликован новый ключ подписи.
admin.oidc.keys.description,"Ключи, которыми подписываются токены этой области. Ротация публикует новый ключ и выводит текущий из обращения."
admin.oidc.keys.empty,Для этой области ещё нет ключей подписи.
admin.oidc.keys.keyId,Идентификатор ключа
admin.oidc.keys.privateNotice,Отображаются только метаданные открытого ключа. Закрытый ключ никогда не передаётся в браузер.
admin.oidc.keys.retire,Вывести из обращения
admin.oidc.keys.retireConfirm,"Вывести этот ключ подписи из эксплуатации? Токены, подписанные им, нельзя будет проверить после его удаления из JWKS."
admin.oidc.keys.retired,Ключ подписи выведен из обращения.
admin.oidc.keys.retiredAt,Выведен из обращения
admin.oidc.keys.rotate,Ротировать ключ
admin.oidc.keys.rotateConfirm,"Ротировать ключ подписи? Будет опубликован новый ключ, а текущий будет выведен из использования."
admin.oidc.keys.rotated,Ключ подписи ротирован.
admin.oidc.keys.statusValue.active,Активна
admin.oidc.keys.statusValue.retired,Выведен из обращения
admin.oidc.keys.title,Ключи подписи
admin.oidc.lifecycle.activate,Активировать
admin.oidc.lifecycle.deactivate,Деактивировать
admin.oidc.lifecycle.remove,Удалить клиента
admin.oidc.permissionDenied,У вас нет разрешения просматривать или изменять настройки OpenID Connect в этой области.
admin.oidc.permissionDeniedTitle,Доступ недоступен
admin.oidc.secret.acknowledge,Я сохранил секрет
admin.oidc.secret.copied,Скопировано в буфер обмена
admin.oidc.secret.copy,Копировать секрет
admin.oidc.secret.copyFailed,Буфер обмена недоступен. Выделите и скопируйте значение вручную.
admin.oidc.secret.createdTitle,Новый секрет клиента
admin.oidc.secret.description,"Сохранённый секрет клиента больше никогда не показывается. Ротируйте его, чтобы выдать новый, или отзовите, чтобы клиент не мог пройти аутентификацию."
admin.oidc.secret.once,"Это единственный раз, когда показывается секрет для {client}. Сохраните его сейчас; восстановить его невозможно."
admin.oidc.secret.publicClient,"Публичный клиент проходит аутентификацию без секрета, поэтому ротировать нечего."
admin.oidc.secret.redacted,Сохранён и скрыт
admin.oidc.secret.revoke,Отозвать секрет
admin.oidc.secret.revokeConfirm,"Отозвать секрет клиента? Клиент не сможет аутентифицироваться, пока не будет выдан новый."
admin.oidc.secret.revoked,Секрет клиента отозван.
admin.oidc.secret.rotate,Ротировать секрет
admin.oidc.secret.rotateConfirm,Ротировать секрет клиента? Текущий секрет сразу перестанет работать.
admin.oidc.secret.rotated,Секрет клиента ротирован.
admin.oidc.secret.rotatedTitle,Ротированный секрет клиента
admin.oidc.secret.title,Секрет клиента
admin.oidc.status,Состояние
admin.oidc.updated,Последнее обновление
admin.organizations.assuranceRequired,"Войдите снова с более надёжным способом аутентификации, чтобы изменить эту настройку организации."
admin.organizations.assuranceRequiredTitle,Требуется более надёжный вход
admin.organizations.branding.background,Цвет фона
admin.organizations.branding.dark,Тёмная тема
admin.organizations.branding.description,"Цвета, логотипы и правовые ссылки, отображаемые на размещённых страницах входа и учётной записи."
admin.organizations.branding.font,Цвет текста
admin.organizations.branding.iconUrl,URL значка
admin.organizations.branding.light,Светлая тема
admin.organizations.branding.logoUrl,URL логотипа
admin.organizations.branding.preview,Предпросмотр
admin.organizations.branding.primary,Основной цвет
admin.organizations.branding.privacyUrl,URL политики конфиденциальности
admin.organizations.branding.saved,Оформление сохранено.
admin.organizations.branding.termsUrl,URL условий обслуживания
admin.organizations.branding.themeMode,Тема по умолчанию
admin.organizations.branding.title,Оформление
