key,ja
account.securityHistory.event.passwordLocked,The password account was locked
account.securityHistory.event.passwordLoginFailed,A password sign-in failed
account.securityHistory.event.passwordLoginSucceeded,A password sign-in succeeded
account.securityHistory.event.passwordRecovered,The password was recovered
account.securityHistory.event.passwordRecoveryRequested,Password recovery was requested
account.securityHistory.event.passwordUnlocked,The password account was unlocked
account.securityHistory.event.passwordWhatsappVerified,The WhatsApp sign-in number was verified
account.securityHistory.event.recoveryCodeUsed,A recovery code was used
account.securityHistory.event.recoveryCodesGenerated,Recovery codes were generated
account.securityHistory.event.refreshTokenFamilyRevoked,A refresh-token family was revoked
account.securityHistory.event.sessionCreated,A session was created
account.securityHistory.event.sessionRevoked,A session was revoked
account.securityHistory.event.sessionRotated,A session was renewed
account.securityHistory.event.sessionsRevoked,All sessions were revoked
account.securityHistory.event.totpEnrollmentConfirmed,An authenticator was confirmed
account.securityHistory.event.totpEnrollmentStarted,Authenticator setup started
account.securityHistory.event.totpRemoved,An authenticator was removed
account.securityHistory.event.totpVerified,An authenticator challenge succeeded
account.securityHistory.loadMore,Load more security activity
account.sessionExpired,Your session has expired
account.sessions.current,Current session
account.sessions.description,Review devices where your account is signed in and revoke any session you do not recognize.
account.sessions.empty,No active sessions
account.sessions.lastUsed,Last used {date}
account.sessions.revoke,Revoke session
account.sessions.revokeConfirm,Revoke this session immediately?
account.sessions.unknownDevice,Unknown device
account.status.available,Available
account.status.configured,Configured
account.status.notConfigured,Not configured
account.status.unavailable,Unavailable
admin.common.confirmTitle,この操作を確認
admin.common.next,次へ
admin.common.pagination,ページ送り
admin.common.permission,この管理データを表示する権限がありません。
admin.common.previous,戻る
admin.events.actor,アクター
admin.events.aggregate,集約
admin.events.count,{count} 件のイベント
admin.events.description,現在のレルムの変更不可能なセキュリティ活動を新しい順に表示します。
admin.events.empty,現在のフィルターに一致するイベントはありません。
admin.events.hide,ペイロードを非表示
admin.events.occurred,発生日時
admin.events.payload,ペイロード
admin.events.redactionNotice,秘密の値はイベントの保存前に伏せられます。
admin.events.search,イベントを検索
admin.events.searchPlaceholder,種類、集約、アクターで絞り込む
admin.events.show,ペイロードを表示
admin.events.systemActor,システム
admin.events.title,監査イベント
admin.events.type,イベントの種類
admin.impersonation.activeTitle,Active impersonation
admin.impersonation.actor,Administrator
admin.impersonation.assuranceRequired,Impersonating a user requires multi-factor authentication. Sign in again with a second factor to continue.
admin.impersonation.assuranceRequiredTitle,Stronger sign-in required
admin.impersonation.auditLink,View the audit events for this impersonation
admin.impersonation.bannerLabel,Impersonation in progress
admin.impersonation.bannerSummary,{actor} is acting as {subject}. This session ends in {remaining}.
admin.impersonation.description,"Act as another person for a short, recorded support session. A reason and a bounded duration are always required."
admin.impersonation.duration,Duration
admin.impersonation.durationHint,"Impersonation always ends automatically, after at most fifteen minutes."
admin.impersonation.durationInvalid,Choose a duration between one second and fifteen minutes.
admin.impersonation.durationMinutes,{count} minutes
admin.impersonation.end,End impersonation
admin.impersonation.endConfirm,End the impersonation of {subject} now?
admin.impersonation.endedNotice,The impersonation session was ended.
admin.impersonation.expires,Ends
admin.impersonation.expiringSoon,This impersonation ends in under a minute.
admin.impersonation.nestedRejected,You are already acting as another user. End the current impersonation before starting a new one.
admin.impersonation.nestedRejectedTitle,Nested impersonation is not allowed
admin.impersonation.noOrganization,No organization
admin.impersonation.organization,Organization
admin.impersonation.organizationHint,Optional. Restrict the session to the permissions the person holds in one organization.
admin.impersonation.permissionDenied,You do not have permission to impersonate users in this realm.
admin.impersonation.permissionDeniedTitle,アクセスできません
admin.impersonation.reason,Reason
admin.impersonation.reasonHint,Recorded in the audit trail and shown to the person you act as.
admin.impersonation.reasonRequired,Enter a reason between 3 and 256 characters.
admin.impersonation.remaining,Remaining
admin.impersonation.remainingValue,{minutes}:{seconds}
admin.impersonation.selfRejected,You cannot impersonate your own account.
admin.impersonation.start,Start impersonation
admin.impersonation.startConfirm,Start acting as {subject}? Everything you do will be recorded against your own identity.
admin.impersonation.startedAt,Started
admin.impersonation.startedNotice,You are now acting as {subject}.
admin.impersonation.subject,Acting as
admin.impersonation.target,User to impersonate
admin.impersonation.targetRequired,Choose the user you want to act as.
admin.impersonation.title,Impersonation
admin.impersonation.userAction,Impersonate this user
admin.machine.assuranceRequired,マシンユーザーとその資格情報を管理するには、より強力で最近のサインインが必要です。続行するには再度サインインしてください。
admin.machine.assuranceRequiredTitle,より強力なサインインが必要です
admin.machine.created,作成日時
admin.machine.credentials.apiKeyCreated,API キーが発行されました。
admin.machine.credentials.description,マシンユーザーがアクセストークンを取得するために提示する資格情報です。保存されるのはメタデータのみで、値が保存されることはありません。
admin.machine.credentials.empty,このマシンユーザーにはまだ資格情報がありません。
admin.machine.credentials.expires,有効期限
admin.machine.credentials.expiresHint,有効期限のない資格情報を発行するには、ここを空のままにします。
admin.machine.credentials.expiryInvalid,有効な有効期限を入力するか、期限のない資格情報にする場合は空のままにしてください。
admin.machine.credentials.expiryPast,未来の有効期限を選択してください。
admin.machine.credentials.issue,資格情報を発行
admin.machine.credentials.issueDescription,個人アクセストークンまたは API キーを発行します。値は一度だけ表示され、復元できません。
admin.machine.credentials.kind,資格情報の種類
admin.machine.credentials.kindAccessToken,アクセストークン
admin.machine.credentials.kindApiKey,API キー
admin.machine.credentials.kindClientSecret,クライアントシークレット
admin.machine.credentials.kindHint,個人アクセストークンはマシンユーザーとして直接動作します。API キーは単一の連携向けです。
admin.machine.credentials.kindToken,個人アクセストークン
admin.machine.credentials.name,名前
admin.machine.credentials.nameRequired,後でこの資格情報を識別できるように名前を入力してください。
admin.machine.credentials.neverExpires,有効期限なし
admin.machine.credentials.onceWarning,発行された値は一度だけ表示されます。このダイアログを閉じる前に保存してください。再取得はできません。
admin.machine.credentials.revoke,取り消す
admin.machine.credentials.revokeConfirm,この資格情報を取り消しますか？使用中のすべてが即座に動作しなくなります。
admin.machine.credentials.revoked,資格情報を取り消しました。
admin.machine.credentials.scopes,スコープ
admin.machine.credentials.scopesHint,スコープはスペースまたはカンマで区切ります。マシンユーザーのスコープを継承するには空のままにします。
admin.machine.credentials.stateActive,有効
admin.machine.credentials.stateExpired,期限切れ
admin.machine.credentials.stateRevoked,取り消し済み
admin.machine.credentials.subject,マシンユーザー
admin.machine.credentials.title,資格情報とトークン
admin.machine.credentials.tokenCreated,個人アクセストークンが発行されました。
admin.machine.credentials.unnamed,名前のない資格情報
admin.machine.crossTenant,このマシンユーザーは別のレルムに属しており、ここでは利用できません。
admin.machine.lifecycle.activate,有効化
admin.machine.lifecycle.deactivate,無効化
admin.machine.lifecycle.description,無効化すると、すべての資格情報が認証できなくなります。削除は恒久的で、取り消すことはできません。
admin.machine.lifecycle.remove,マシンユーザーを削除
admin.machine.lifecycle.removeConfirm,このマシンユーザーを削除しますか？所有するすべての資格情報が即座に動作しなくなり、復元できません。
admin.machine.lifecycle.title,ライフサイクル
admin.machine.permissionDenied,このレルムのマシンユーザーを表示または変更する権限がありません。
admin.machine.permissionDeniedTitle,アクセスできません
admin.machine.secret.acknowledge,シークレットを保存しました
admin.machine.secret.apiKeyTitle,新しい API キー
admin.machine.secret.clientId,クライアント ID
admin.machine.secret.clientTitle,新しいクライアントシークレット
admin.machine.secret.copied,クリップボードにコピーしました
admin.machine.secret.copy,シークレットをコピー
admin.machine.secret.copyFailed,クリップボードを利用できません。値を手動で選択してコピーしてください。
admin.machine.secret.description,クライアントシークレットにより、このマシンユーザーはクライアント資格情報をアクセストークンと交換できます。書き込み専用で保存され、ローテーションのみ可能です。
admin.machine.secret.once,{name} の値が表示されるのはこの一度だけです。今すぐ保存してください。復元はできません。
admin.machine.secret.redacted,保存済みで非表示
admin.machine.secret.rotate,クライアントシークレットをローテーション
admin.machine.secret.rotateConfirm,このクライアントシークレットをローテーションしますか？現在のシークレットは即座に無効になり、復元できません。
admin.machine.secret.rotated,クライアントシークレットをローテーションしました。
admin.machine.secret.title,クライアントシークレット
admin.machine.secret.tokenTitle,新しい個人アクセストークン
admin.machine.secret.value,シークレットの値
admin.machine.status,ステータス
admin.machine.statusValue.active,有効
admin.machine.statusValue.inactive,非アクティブ
admin.machine.statusValue.removed,削除済み
admin.machine.updated,最終更新
admin.machine.users.create,マシンユーザーを作成
admin.machine.users.createDescription,サービスまたは連携のための非人間 ID を作成します。そのクライアントシークレットは一度だけ表示されます。
admin.machine.users.createSecretHint,クライアント ID とクライアントシークレットがただちに発行されます。シークレットは一度だけ表示され、復元できません。
admin.machine.users.created,マシンユーザーを作成しました。
admin.machine.users.description,このレルムでクライアント資格情報、トークン、または API キーを使って認証する非人間 ID です。
admin.machine.users.detailTitle,マシンユーザーの詳細
admin.machine.users.displayName,表示名
admin.machine.users.empty,このレルムにはまだマシンユーザーが存在しません。
admin.machine.users.identifier,マシンユーザー識別子
admin.machine.users.invalid,表示名とユーザー名を入力し、有効なスコープ値のみを使用してください。
admin.machine.users.lifecycleChanged,マシンユーザーのステータスを変更しました。
admin.machine.users.missingId,この宛先にはマシンユーザーの選択が必要です。
admin.machine.users.noScopes,スコープなし
admin.machine.users.scopes,スコープ
admin.machine.users.scopesHint,スコープはスペースまたはカンマで区切ります。スコープは完全一致で照合されます。
admin.machine.users.search,マシンユーザーを検索
admin.machine.users.title,マシンユーザー
admin.machine.users.userName,ユーザー名
admin.machine.users.userNameHint,クライアント資格情報を交換するときのクライアント ID として使用されます。
admin.navigation.description,Choose an administration resource
admin.navigation.hide,Hide sidebar
admin.navigation.label,管理
admin.navigation.title,Administration navigation
admin.oidc.assuranceRequired,OpenID Connect の設定を管理するには、より強力で最近のサインインが必要です。続行するには再度サインインしてください。
admin.oidc.assuranceRequiredTitle,より強力なサインインが必要です
admin.oidc.clients.consent,同意
admin.oidc.clients.consentRequired,必要
admin.oidc.clients.consentSkipped,不要
admin.oidc.clients.create,クライアントを登録
admin.oidc.clients.createDescription,OpenID Connect でサインインさせるアプリケーションを登録します。機密クライアントにはシークレットが一度だけ発行されます。
admin.oidc.clients.created,クライアントを登録しました。
admin.oidc.clients.description,このレルムで OpenID Connect を通じて人を認証するアプリケーション。
admin.oidc.clients.detailTitle,OIDC クライアントの詳細
admin.oidc.clients.empty,このレルムにはまだ OpenID Connect クライアントが登録されていません。
admin.oidc.clients.exactMatchHint,1 行につき 1 つの URI。すべてのリダイレクトは完全一致で照合されるため、ワイルドカードや末尾の差異は拒否されます。
admin.oidc.clients.identifier,クライアント識別子
admin.oidc.clients.invalid,クライアント名、完全一致のリダイレクト URI を 1 つ以上、スコープを 1 つ以上入力してください。
admin.oidc.clients.lifecycleChanged,クライアントの状態を変更しました。
admin.oidc.clients.missingId,この宛先にはOIDCクライアントの選択が必要です。
admin.oidc.clients.name,クライアント名
admin.oidc.clients.postLogoutUris,サインアウト後のリダイレクト URI
admin.oidc.clients.redirectUris,リダイレクト URI
admin.oidc.clients.removeConfirm,このOIDCクライアントを削除しますか？それを使用するアプリケーションは即座に動作しなくなります。
admin.oidc.clients.requireConsent,このアプリケーションの承認を本人に求める
admin.oidc.clients.saved,クライアントを保存しました。
admin.oidc.clients.scopes,許可されたスコープ
admin.oidc.clients.search,クライアントを検索
admin.oidc.clients.settingsDescription,クライアント名、完全一致のリダイレクト URI、許可されたスコープ、同意の扱いを設定します。
admin.oidc.clients.settingsTitle,クライアント設定
admin.oidc.clients.statusValue.active,有効
admin.oidc.clients.statusValue.inactive,非アクティブ
admin.oidc.clients.statusValue.removed,削除済み
admin.oidc.clients.title,OpenID Connect クライアント
admin.oidc.clients.trusted,信頼済み
admin.oidc.clients.trustedHint,信頼済みクライアントは同意画面を完全にスキップします。自社のアプリケーションのみを信頼済みにしてください。
admin.oidc.clients.type,クライアントの種類
admin.oidc.clients.typeConfidential,機密
admin.oidc.clients.typeHint,機密クライアントはサーバー上にシークレットを保持します。モバイルアプリやシングルページアプリなどのパブリッククライアントはそれができません。
admin.oidc.clients.typePublic,パブリック
admin.oidc.confirmTitle,この変更を確認
admin.oidc.consents.client,アプリケーション
admin.oidc.consents.description,本人が承認したアプリケーション。同意を取り消すと、再度アプリケーションの承認を求められます。
admin.oidc.consents.empty,この人はまだどのアプリケーションも承認していません。
admin.oidc.consents.granted,承認日時
admin.oidc.consents.revokeConfirm,この同意を取り消しますか？ユーザーはアプリケーションの承認を再度求められます。
admin.oidc.consents.revoked,同意を取り消しました。
admin.oidc.consents.title,アプリケーションの同意
admin.oidc.consents.user,対象者
admin.oidc.created,作成日時
admin.oidc.crossTenant,このリソースは別のレルムに属しているため、ここでは利用できません。
admin.oidc.documents.authorizationEndpoint,認可エンドポイント
admin.oidc.documents.copied,コピーしました
admin.oidc.documents.copy,ドキュメントをコピー
admin.oidc.documents.description,Authworks がこのレルム向けに公開しているプロトコルドキュメントを、クライアントライブラリが読み取るとおりに表示します。
admin.oidc.documents.discoveryDescription,well-known エンドポイントから提供される OpenID プロバイダーのメタデータ。
admin.oidc.documents.discoveryTitle,ディスカバリードキュメント
admin.oidc.documents.empty,このレルムにはまだプロトコルドキュメントが公開されていません。
admin.oidc.documents.endSessionEndpoint,セッション終了エンドポイント
admin.oidc.documents.issuer,発行者
admin.oidc.documents.jwksDescription,このレルムが発行したトークンを検証する公開鍵。
admin.oidc.documents.jwksTitle,JSON Web キーセット
admin.oidc.documents.jwksUri,JWKS URI
admin.oidc.documents.open,エンドポイントを開く
admin.oidc.documents.readOnly,これらのドキュメントはレルム設定と署名鍵から生成されます。ここでは編集できません。
admin.oidc.documents.showRaw,生のドキュメントを表示
admin.oidc.documents.title,プロトコルドキュメント
admin.oidc.documents.tokenEndpoint,トークンエンドポイント
admin.oidc.documents.userinfoEndpoint,userinfo エンドポイント
admin.oidc.keys.algorithm,アルゴリズム
admin.oidc.keys.create,鍵を追加
admin.oidc.keys.created,新しい署名鍵を公開しました。
admin.oidc.keys.description,このレルムのトークンに署名する鍵。ローテーションでは新しい鍵を公開し、現在の鍵を退役させます。
admin.oidc.keys.empty,このレルムにはまだ署名鍵がありません。
admin.oidc.keys.keyId,鍵 ID
admin.oidc.keys.privateNotice,表示されるのは公開鍵のメタデータのみです。秘密鍵がブラウザーに送信されることはありません。
admin.oidc.keys.retire,退役させる
admin.oidc.keys.retireConfirm,この署名鍵を廃止しますか？JWKS から除外されると、その鍵で署名されたトークンは検証できなくなります。
admin.oidc.keys.retired,署名鍵を退役させました。
admin.oidc.keys.retiredAt,退役日時
admin.oidc.keys.rotate,鍵をローテーション
admin.oidc.keys.rotateConfirm,署名鍵をローテーションしますか？新しい鍵が公開され、現在の鍵は廃止されます。
admin.oidc.keys.rotated,署名鍵をローテーションしました。
admin.oidc.keys.statusValue.active,有効
admin.oidc.keys.statusValue.retired,退役済み
admin.oidc.keys.title,署名鍵
admin.oidc.lifecycle.activate,有効化
admin.oidc.lifecycle.deactivate,無効化
admin.oidc.lifecycle.remove,クライアントを削除
admin.oidc.permissionDenied,このレルムの OpenID Connect 設定を表示または変更する権限がありません。
admin.oidc.permissionDeniedTitle,アクセスできません
admin.oidc.secret.acknowledge,シークレットを保存しました
admin.oidc.secret.copied,クリップボードにコピーしました
admin.oidc.secret.copy,シークレットをコピー
admin.oidc.secret.copyFailed,クリップボードを利用できません。値を選択して手動でコピーしてください。
admin.oidc.secret.createdTitle,新しいクライアントシークレット
admin.oidc.secret.description,保存されたクライアントシークレットは二度と表示されません。新しいものを発行するにはローテーションし、クライアントの認証を停止するには取り消してください。
admin.oidc.secret.once,{client} のシークレットが表示されるのはこの一度だけです。今すぐ保存してください。復元はできません。
admin.oidc.secret.publicClient,パブリッククライアントはシークレットなしで認証するため、ローテーションするものはありません。
admin.oidc.secret.redacted,保存済みで非表示
admin.oidc.secret.revoke,シークレットを取り消す
admin.oidc.secret.revokeConfirm,このクライアントシークレットを取り消しますか？新しいシークレットが発行されるまで、クライアントは認証できません。
admin.oidc.secret.revoked,クライアントシークレットを取り消しました。
admin.oidc.secret.rotate,シークレットをローテーション
admin.oidc.secret.rotateConfirm,このクライアントシークレットをローテーションしますか？現在のシークレットは即座に無効になります。
admin.oidc.secret.rotated,クライアントシークレットをローテーションしました。
admin.oidc.secret.rotatedTitle,ローテーション済みクライアントシークレット
admin.oidc.secret.title,クライアントシークレット
admin.oidc.status,状態
admin.oidc.updated,最終更新
admin.organizations.assuranceRequired,この組織設定を変更するには、より強力な認証方法で再度サインインしてください。
admin.organizations.assuranceRequiredTitle,より強力なサインインが必要です
admin.organizations.branding.background,背景色
admin.organizations.branding.dark,ダークテーマ
admin.organizations.branding.description,ホストされたサインインおよびアカウント画面に表示される色、ロゴ、法的リンク。
admin.organizations.branding.font,文字色
admin.organizations.branding.iconUrl,アイコン URL
admin.organizations.branding.light,ライトテーマ
admin.organizations.branding.logoUrl,ロゴ URL
admin.organizations.branding.preview,プレビュー
admin.organizations.branding.primary,プライマリカラー
admin.organizations.branding.privacyUrl,プライバシーポリシー URL
admin.organizations.branding.saved,ブランディングを保存しました。
admin.organizations.branding.termsUrl,利用規約 URL
admin.organizations.branding.themeMode,既定のテーマ
admin.organizations.branding.title,ブランディング
admin.organizations.branding.warn,警告色
admin.organizations.branding.watermark,Authworks の透かしを非表示にする
admin.organizations.detail.created,作成日時
admin.organizations.detail.realm,レルム
admin.organizations.detail.settingsDescription,組織名とそのライフサイクル状態を管理します。
admin.organizations.detail.settingsTitle,組織設定
admin.organizations.detail.updated,最終更新
admin.organizations.detailTitle,組織の詳細
admin.organizations.domains.claim,ドメインを申請
admin.organizations.domains.claimed,{domain} は申請され、検証待ちです。
admin.organizations.domains.description,検証済みドメインにより、メールアドレスからこの組織を見つけられるようになります。
admin.organizations.domains.discovery,判別プレビュー
admin.organizations.domains.discoveryDescription,サインイン時にドメインが現在どの組織に解決されるかを確認します。
admin.organizations.domains.discoveryFound,{domain} は {organization} に解決されます。
