key,fr
admin.impersonation.endConfirm,End the impersonation of {subject} now?
admin.impersonation.endedNotice,The impersonation session was ended.
admin.impersonation.expires,Ends
admin.impersonation.expiringSoon,This impersonation ends in under a minute.
admin.impersonation.nestedRejected,You are already acting as another user. End the current impersonation before starting a new one.
admin.impersonation.nestedRejectedTitle,Nested impersonation is not allowed
admin.impersonation.noOrganization,No organization
admin.impersonation.organization,Organization
admin.impersonation.organizationHint,Optional. Restrict the session to the permissions the person holds in one organization.
admin.impersonation.permissionDenied,You do not have permission to impersonate users in this realm.
admin.impersonation.permissionDeniedTitle,Accès indisponible
admin.impersonation.reason,Reason
admin.impersonation.reasonHint,Recorded in the audit trail and shown to the person you act as.
admin.impersonation.reasonRequired,Enter a reason between 3 and 256 characters.
admin.impersonation.remaining,Remaining
admin.impersonation.remainingValue,{minutes}:{seconds}
admin.impersonation.selfRejected,You cannot impersonate your own account.
admin.impersonation.start,Start impersonation
admin.impersonation.startConfirm,Start acting as {subject}? Everything you do will be recorded against your own identity.
admin.impersonation.startedAt,Started
admin.impersonation.startedNotice,You are now acting as {subject}.
admin.impersonation.subject,Acting as
admin.impersonation.target,User to impersonate
admin.impersonation.targetRequired,Choose the user you want to act as.
admin.impersonation.title,Impersonation
admin.impersonation.userAction,Impersonate this user
admin.machine.assuranceRequired,La gestion des utilisateurs machine et de leurs identifiants nécessite une connexion plus forte et plus récente. Reconnectez-vous pour continuer.
admin.machine.assuranceRequiredTitle,Connexion plus forte requise
admin.machine.created,Créé
admin.machine.credentials.apiKeyCreated,La clé d'API a été émise.
admin.machine.credentials.description,"Identifiants qu'un utilisateur machine présente pour obtenir un jeton d'accès. Seules leurs métadonnées sont stockées, jamais la valeur."
admin.machine.credentials.empty,Cet utilisateur machine n'a encore aucun identifiant.
admin.machine.credentials.expires,Expire le
admin.machine.credentials.expiresHint,Laissez ce champ vide pour émettre un identifiant sans expiration.
admin.machine.credentials.expiryInvalid,"Saisissez une date d'expiration valide, ou laissez le champ vide pour un identifiant sans expiration."
admin.machine.credentials.expiryPast,Choisissez une date d'expiration future.
admin.machine.credentials.issue,Émettre un identifiant
admin.machine.credentials.issueDescription,Émettez un jeton d'accès personnel ou une clé d'API. La valeur est affichée une seule fois et ne peut pas être récupérée.
admin.machine.credentials.kind,Type d'identifiant
admin.machine.credentials.kindAccessToken,Jeton d'accès
admin.machine.credentials.kindApiKey,Clé d'API
admin.machine.credentials.kindClientSecret,Secret client
admin.machine.credentials.kindHint,Un jeton d'accès personnel agit directement pour l'utilisateur machine. Une clé d'API est destinée à une seule intégration.
admin.machine.credentials.kindToken,Jeton d'accès personnel
admin.machine.credentials.name,Nom
admin.machine.credentials.nameRequired,Saisissez un nom afin de reconnaître cet identifiant plus tard.
admin.machine.credentials.neverExpires,N'expire pas
admin.machine.credentials.onceWarning,La valeur émise est affichée une seule fois. Enregistrez-la avant de fermer cette boîte de dialogue ; elle ne pourra plus être récupérée.
admin.machine.credentials.revoke,Révoquer
admin.machine.credentials.revokeConfirm,Révoquer cet identifiant ? Tout ce qui l'utilise cesse immédiatement de fonctionner.
admin.machine.credentials.revoked,L'identifiant a été révoqué.
admin.machine.credentials.scopes,Portées
admin.machine.credentials.scopesHint,Séparez les portées par des espaces ou des virgules. Laissez vide pour hériter des portées de l'utilisateur machine.
admin.machine.credentials.stateActive,Actif
admin.machine.credentials.stateExpired,Expiré
admin.machine.credentials.stateRevoked,Révoqué
admin.machine.credentials.subject,Utilisateur machine
admin.machine.credentials.title,Identifiants et jetons
admin.machine.credentials.tokenCreated,Le jeton d'accès personnel a été émis.
admin.machine.credentials.unnamed,Identifiant sans nom
admin.machine.crossTenant,Cet utilisateur machine appartient à un autre realm et n'est pas disponible ici.
admin.machine.lifecycle.activate,Activer
admin.machine.lifecycle.deactivate,Désactiver
admin.machine.lifecycle.description,La désactivation empêche tout identifiant de s'authentifier. La suppression est définitive et irréversible.
admin.machine.lifecycle.remove,Supprimer l'utilisateur machine
admin.machine.lifecycle.removeConfirm,Supprimer cet utilisateur machine ? Tous ses identifiants cessent immédiatement de fonctionner et ne peuvent pas être restaurés.
admin.machine.lifecycle.title,Cycle de vie
admin.machine.pageNext,Page suivante
admin.machine.pagePrevious,Page précédente
admin.machine.permissionDenied,Vous n'avez pas l'autorisation de consulter ou de modifier les utilisateurs machine de ce realm.
admin.machine.permissionDeniedTitle,Accès indisponible
admin.machine.secret.acknowledge,J'ai enregistré le secret
admin.machine.secret.apiKeyTitle,Nouvelle clé d'API
admin.machine.secret.clientId,Identifiant client
admin.machine.secret.clientTitle,Nouveau secret client
admin.machine.secret.copied,Copié dans le presse-papiers
admin.machine.secret.copy,Copier le secret
admin.machine.secret.copyFailed,Le presse-papiers est indisponible. Sélectionnez et copiez la valeur manuellement.
admin.machine.secret.description,Le secret client permet à cet utilisateur machine d'échanger ses identifiants client contre un jeton d'accès. Il est stocké en écriture seule et ne peut être que renouvelé.
admin.machine.secret.once,C'est la seule fois que la valeur de {name} est affichée. Enregistrez-la maintenant ; elle ne pourra pas être récupérée.
admin.machine.secret.redacted,Stocké et masqué
admin.machine.secret.rotate,Renouveler le secret client
admin.machine.secret.rotateConfirm,Effectuer la rotation de ce secret client ? Le secret actuel cesse immédiatement de fonctionner et ne peut pas être récupéré.
admin.machine.secret.rotated,Le secret client a été renouvelé.
admin.machine.secret.title,Secret client
admin.machine.secret.tokenTitle,Nouveau jeton d'accès personnel
admin.machine.secret.value,Valeur du secret
admin.machine.status,Statut
admin.machine.updated,Dernière mise à jour
admin.machine.users.create,Créer un utilisateur machine
admin.machine.users.createDescription,Créez une identité non humaine pour un service ou une intégration. Son secret client est affiché une seule fois.
admin.machine.users.createSecretHint,Un identifiant client et un secret client sont émis immédiatement. Le secret est affiché une seule fois et ne peut pas être récupéré.
admin.machine.users.created,L'utilisateur machine a été créé.
admin.machine.users.description,"Identités non humaines qui s'authentifient avec des identifiants client, des jetons ou des clés d'API dans ce realm."
admin.machine.users.detailTitle,Détail de l'utilisateur machine
admin.machine.users.displayName,Nom affiché
admin.machine.users.empty,Aucun utilisateur machine n'existe encore dans ce realm.
admin.machine.users.invalid,"Saisissez un nom affiché et un nom d'utilisateur, et n'utilisez que des valeurs de portée valides."
admin.machine.users.lifecycleChanged,Le statut de l'utilisateur machine a été modifié.
admin.machine.users.missingId,Un utilisateur machine doit être sélectionné pour cette destination.
admin.machine.users.noScopes,Aucune portée
admin.machine.users.scopes,Portées
admin.machine.users.scopesHint,Séparez les portées par des espaces ou des virgules. Les portées sont comparées exactement.
admin.machine.users.search,Rechercher des utilisateurs machine
admin.machine.users.title,Utilisateurs machine
admin.machine.users.userName,Nom d'utilisateur
admin.machine.users.userNameHint,Utilisé comme identifiant client lors de l'échange d'identifiants client.
admin.navigation.description,Choose an administration resource
admin.navigation.hide,Hide sidebar
admin.navigation.label,Administration
admin.navigation.title,Administration navigation
admin.oidc.assuranceRequired,La gestion des paramètres OpenID Connect nécessite une connexion plus forte et plus récente. Reconnectez-vous pour continuer.
admin.oidc.assuranceRequiredTitle,Connexion plus forte requise
admin.oidc.clients.consent,Consentement
admin.oidc.clients.consentRequired,Requis
admin.oidc.clients.consentSkipped,Non requis
admin.oidc.clients.create,Enregistrer un client
admin.oidc.clients.createDescription,Enregistrez une application qui connecte les personnes avec OpenID Connect. Un client confidentiel reçoit un secret une seule fois.
admin.oidc.clients.created,Le client a été enregistré.
admin.oidc.clients.description,Applications qui authentifient les personnes via OpenID Connect dans ce domaine.
admin.oidc.clients.detailTitle,Détail du client OIDC
admin.oidc.clients.empty,Aucun client OpenID Connect n'est encore enregistré dans ce domaine.
admin.oidc.clients.exactMatchHint,Une URI par ligne. Chaque redirection est comparée à l'identique : les caractères génériques et les différences finales sont refusés.
admin.oidc.clients.invalid,"Saisissez un nom de client, au moins une URI de redirection exacte et au moins une portée."
admin.oidc.clients.lifecycleChanged,Le statut du client a été modifié.
admin.oidc.clients.missingId,Un client OIDC doit être sélectionné pour cette destination.
admin.oidc.clients.name,Nom du client
admin.oidc.clients.postLogoutUris,URI de redirection après déconnexion
admin.oidc.clients.redirectUris,URI de redirection
admin.oidc.clients.removeConfirm,Supprimer ce client OIDC ? Les applications qui l'utilisent cessent immédiatement de fonctionner.
admin.oidc.clients.requireConsent,Demander à la personne d'approuver cette application
admin.oidc.clients.saved,Le client a été enregistré.
admin.oidc.clients.scopes,Portées autorisées
admin.oidc.clients.search,Rechercher des clients
admin.oidc.clients.settingsDescription,"Contrôlez le nom du client, les URI de redirection exactes, les portées autorisées et la gestion du consentement."
admin.oidc.clients.settingsTitle,Paramètres du client
admin.oidc.clients.title,Clients OpenID Connect
admin.oidc.clients.trusted,De confiance
admin.oidc.clients.trustedHint,Un client de confiance ignore entièrement l'écran de consentement. Ne marquez comme tel que vos propres applications.
admin.oidc.clients.type,Type de client
admin.oidc.clients.typeConfidential,Confidentiel
admin.oidc.clients.typeHint,"Un client confidentiel conserve un secret sur un serveur. Un client public, comme une application mobile ou monopage, ne le peut pas."
admin.oidc.clients.typePublic,Public
admin.oidc.confirmTitle,Confirmer cette modification
admin.oidc.consents.client,Application
admin.oidc.consents.description,Applications qu'une personne a approuvées. Révoquer un consentement lui demande d'approuver l'application à nouveau.
admin.oidc.consents.empty,Cette personne n'a encore approuvé aucune application.
admin.oidc.consents.granted,Approuvée
admin.oidc.consents.revokeConfirm,Révoquer ce consentement ? La personne sera à nouveau invitée à approuver l'application.
admin.oidc.consents.revoked,Le consentement a été révoqué.
admin.oidc.consents.title,Consentements d'applications
admin.oidc.consents.user,Personne
admin.oidc.created,Créé
admin.oidc.crossTenant,Cette ressource appartient à un autre domaine et n'est pas disponible ici.
admin.oidc.documents.authorizationEndpoint,Point de terminaison d'autorisation
admin.oidc.documents.copied,Copié
admin.oidc.documents.copy,Copier le document
admin.oidc.documents.description,"Les documents de protocole publiés par Authworks pour ce domaine, tels qu'une bibliothèque cliente les lit."
admin.oidc.documents.discoveryDescription,Les métadonnées du fournisseur OpenID servies depuis le point de terminaison well-known.
admin.oidc.documents.discoveryTitle,Document de découverte
admin.oidc.documents.empty,Aucun document de protocole n'est encore publié pour ce domaine.
admin.oidc.documents.endSessionEndpoint,Point de terminaison de fin de session
admin.oidc.documents.issuer,Émetteur
admin.oidc.documents.jwksDescription,Les clés publiques qui vérifient les jetons émis par ce domaine.
admin.oidc.documents.jwksTitle,Jeu de clés web JSON
admin.oidc.documents.jwksUri,URI JWKS
admin.oidc.documents.open,Ouvrir le point de terminaison
admin.oidc.documents.readOnly,Ces documents sont générés à partir de la configuration du domaine et des clés de signature. Ils ne peuvent pas être modifiés ici.
admin.oidc.documents.showRaw,Afficher le document brut
admin.oidc.documents.title,Documents de protocole
admin.oidc.documents.tokenEndpoint,Point de terminaison de jeton
admin.oidc.documents.userinfoEndpoint,Point de terminaison userinfo
admin.oidc.keys.algorithm,Algorithme
admin.oidc.keys.create,Ajouter une clé
admin.oidc.keys.created,Une nouvelle clé de signature a été publiée.
admin.oidc.keys.description,Les clés qui signent les jetons de ce domaine. La rotation publie une nouvelle clé et retire l'actuelle.
admin.oidc.keys.empty,Aucune clé de signature n'existe encore pour ce domaine.
admin.oidc.keys.keyId,Identifiant de clé
admin.oidc.keys.privateNotice,Seules les métadonnées de la clé publique sont affichées. Le matériel de clé privée n'est jamais envoyé au navigateur.
admin.oidc.keys.retire,Retirer
admin.oidc.keys.retireConfirm,Retirer cette clé de signature ? Les jetons signés avec elle ne pourront plus être vérifiés une fois qu'elle quittera le JWKS.
admin.oidc.keys.retired,La clé de signature a été retirée.
admin.oidc.keys.retiredAt,Retirée
admin.oidc.keys.rotate,Effectuer la rotation
admin.oidc.keys.rotateConfirm,Effectuer la rotation de la clé de signature ? Une nouvelle clé est publiée et la clé actuelle est retirée.
admin.oidc.keys.rotated,La clé de signature a été renouvelée.
admin.oidc.keys.title,Clés de signature
admin.oidc.lifecycle.activate,Activer
admin.oidc.lifecycle.deactivate,Désactiver
admin.oidc.lifecycle.remove,Supprimer le client
admin.oidc.pageNext,Page suivante
admin.oidc.pagePrevious,Page précédente
admin.oidc.permissionDenied,Vous n'avez pas l'autorisation de consulter ou de modifier les paramètres OpenID Connect de ce domaine.
admin.oidc.permissionDeniedTitle,Accès indisponible
admin.oidc.secret.acknowledge,J'ai enregistré le secret
admin.oidc.secret.copied,Copié dans le presse-papiers
admin.oidc.secret.copy,Copier le secret
admin.oidc.secret.copyFailed,Le presse-papiers est indisponible. Sélectionnez et copiez la valeur manuellement.
admin.oidc.secret.createdTitle,Nouveau secret client
admin.oidc.secret.description,"Le secret client enregistré n'est plus jamais affiché. Effectuez sa rotation pour en émettre un nouveau, ou révoquez-le pour empêcher le client de s'authentifier."
admin.oidc.secret.once,C'est la seule fois où le secret de {client} est affiché. Enregistrez-le maintenant ; il ne peut pas être récupéré.
admin.oidc.secret.publicClient,Un client public s'authentifie sans secret ; il n'y a donc rien à renouveler.
admin.oidc.secret.redacted,Enregistré et masqué
admin.oidc.secret.revoke,Révoquer le secret
admin.oidc.secret.revokeConfirm,Révoquer ce secret client ? Le client ne peut plus s'authentifier tant qu'un nouveau secret n'est pas émis.
admin.oidc.secret.revoked,Le secret client a été révoqué.
admin.oidc.secret.rotate,Renouveler le secret
admin.oidc.secret.rotateConfirm,Effectuer la rotation de ce secret client ? Le secret actuel cesse immédiatement de fonctionner.
admin.oidc.secret.rotated,Le secret client a été renouvelé.
admin.oidc.secret.rotatedTitle,Secret client renouvelé
admin.oidc.secret.title,Secret client
admin.oidc.status,Statut
admin.oidc.updated,Dernière mise à jour
admin.organizations.assuranceRequired,Reconnectez-vous avec une méthode d'authentification plus forte pour modifier ce paramètre d'organisation.
admin.organizations.assuranceRequiredTitle,Connexion plus forte requise
admin.organizations.branding.background,Couleur d'arrière-plan
admin.organizations.branding.dark,Thème sombre
admin.organizations.branding.description,"Couleurs, logos et liens légaux affichés sur les écrans de connexion et de compte hébergés."
admin.organizations.branding.font,Couleur du texte
admin.organizations.branding.iconUrl,URL de l'icône
admin.organizations.branding.light,Thème clair
admin.organizations.branding.logoUrl,URL du logo
admin.organizations.branding.preview,Aperçu
admin.organizations.branding.primary,Couleur principale
admin.organizations.branding.privacyUrl,URL de la politique de confidentialité
admin.organizations.branding.saved,La personnalisation a été enregistrée.
admin.organizations.branding.termsUrl,URL des conditions d'utilisation
admin.organizations.branding.themeMode,Thème par défaut
admin.organizations.branding.title,Personnalisation
admin.organizations.branding.warn,Couleur d'avertissement
admin.organizations.branding.watermark,Masquer le filigrane Authworks
admin.organizations.detail.created,Créé
admin.organizations.detail.realm,Realm
admin.organizations.detail.settingsDescription,Contrôlez le nom de l'organisation et son statut de cycle de vie.
admin.organizations.detail.settingsTitle,Paramètres de l'organisation
admin.organizations.detail.updated,Dernière mise à jour
admin.organizations.detailTitle,Détail de l'organisation
admin.organizations.domains.claim,Revendiquer le domaine
admin.organizations.domains.claimed,{domain} a été revendiqué et attend une vérification.
admin.organizations.domains.description,Les domaines vérifiés permettent aux personnes de trouver cette organisation à partir de leur adresse e-mail.
admin.organizations.domains.discovery,Aperçu de la détection
admin.organizations.domains.discoveryDescription,Vérifiez vers quelle organisation un domaine est actuellement résolu lors de la connexion.
admin.organizations.domains.discoveryFound,{domain} correspond à {organization}.
admin.organizations.domains.discoveryMissing,{domain} ne correspond à aucune organisation.
admin.organizations.domains.domain,Domaine
admin.organizations.domains.empty,Cette organisation n'a pas encore revendiqué de domaine.
admin.organizations.domains.invalid,Saisissez un nom de domaine valide.
admin.organizations.domains.placeholder,example.com
admin.organizations.domains.primary,Domaine principal
admin.organizations.domains.remove,Supprimer le domaine
admin.organizations.domains.removeConfirm,Supprimer le domaine {domain} ? La découverte de l'organisation s'arrête immédiatement pour celui-ci.
admin.organizations.domains.removed,Le domaine a été supprimé.
admin.organizations.domains.title,Domaines et détection
admin.organizations.domains.unverified,En attente de vérification
admin.organizations.domains.verificationRecord,"Ajoutez cet enregistrement DNS TXT, puis vérifiez."
admin.organizations.domains.verified,Verified
admin.organizations.domains.verify,Vérifier le domaine
admin.organizations.domains.verifyDone,Le domaine a été vérifié.
admin.organizations.invitations.create,Inviter une personne
admin.organizations.invitations.description,Invitez des personnes par e-mail et suivez les invitations encore en attente.
admin.organizations.invitations.email,Email address
admin.organizations.invitations.emailInvalid,Saisissez une adresse e-mail valide.
admin.organizations.invitations.empty,Aucune invitation n'a été envoyée pour cette organisation.
admin.organizations.invitations.expires,Expire
admin.organizations.invitations.revoke,Révoquer l'invitation
admin.organizations.invitations.revokeConfirm,Révoquer l'invitation pour {email} ? Le lien d'invitation cesse immédiatement de fonctionner.
admin.organizations.invitations.revoked,L'invitation a été révoquée.
admin.organizations.invitations.rolesInvalid,Choisissez entre un et quatre rôles.
admin.organizations.invitations.sent,L'invitation a été créée.
admin.organizations.invitations.statusValue.accepted,Acceptée
admin.organizations.invitations.statusValue.declined,Refusée
admin.organizations.invitations.statusValue.expired,Expiré
admin.organizations.invitations.statusValue.pending,En attente
admin.organizations.invitations.statusValue.revoked,Révoqué
admin.organizations.invitations.title,Invitations
admin.organizations.invitations.tokenDismiss,J'ai enregistré ce lien
admin.organizations.invitations.tokenOnce,Ce lien d'invitation n'est affiché qu'une seule fois. Partagez-le avec la personne invitée.
admin.organizations.invitations.tokenTitle,Lien d'invitation
admin.organizations.lifecycle.activate,Réactiver l'organisation
admin.organizations.lifecycle.activateConfirm,Réactiver cette organisation ? Les membres perdent l'accès tant qu'elle n'est pas active.
admin.organizations.lifecycle.changed,Le statut de cycle de vie de l'organisation a été modifié.
admin.organizations.lifecycle.deactivate,Désactiver l'organisation
admin.organizations.lifecycle.deactivateConfirm,Désactiver cette organisation ? Les membres perdent l'accès tant qu'elle n'est pas active.
