key,de
account.profile.signInTitle,Anmeldedaten
account.profile.userName,Benutzername
account.profile.verificationPending,Verifizierung ausstehend
account.profile.verified,Verifiziert
account.recovery.generate,Neue Codes erzeugen
account.recovery.once,Kopieren oder drucken Sie diese Codes jetzt. Sie können nicht erneut angezeigt werden.
account.recovery.remaining,{count} unbenutzte Codes verbleiben. Das Erzeugen neuer Codes macht die bisherigen ungültig.
account.recovery.saveNow,Speichern Sie jetzt Ihre Wiederherstellungscodes
account.recovery.saved,Ich habe diese Codes gespeichert
account.recovery.summary,Wiederherstellungszugriff
account.refreshTokens.active,Aktiv
account.refreshTokens.description,"Prüfen Sie die Anwendungen, die für dieses Konto Refresh-Tokens verwenden. Es werden nur sichere Metadaten angezeigt; der Widerruf einer Familie macht auch ihre Zugriffstoken ungültig."
account.refreshTokens.empty,Keine Refresh-Token-Familien verfügbar
account.refreshTokens.expired,Abgelaufen
account.refreshTokens.expires,Läuft ab am {date}
account.refreshTokens.lastUsed,Zuletzt verwendet am {date}
account.refreshTokens.neverUsed,Noch nie verwendet
account.refreshTokens.revoke,Familie widerrufen
account.refreshTokens.revokeAll,Alle Familien widerrufen
account.refreshTokens.revokeAllConfirm,Alle Refresh-Token-Familien für dieses Konto widerrufen?
account.refreshTokens.revokeConfirm,Diese Refresh-Token-Familie und ihre Zugriffstoken widerrufen?
account.refreshTokens.revoked,Widerrufen
account.refreshTokens.revokedAt,Widerrufen am {date}
account.refreshTokens.scope,Bereiche: {scope}
account.refreshTokens.title,Refresh-Token-Familien
account.security.label,Verwaltung der Kontosicherheit
account.securityHistory.category.emailChanges,Email changes
account.securityHistory.category.impersonation,Impersonation
account.securityHistory.category.linkedIdentities,Linked identities
account.securityHistory.category.mfa,Multi-factor authentication
account.securityHistory.category.passkeys,Passkeys
account.securityHistory.category.passwords,Passwords
account.securityHistory.category.refreshTokens,Refresh tokens
account.securityHistory.category.sessions,Sessions
account.securityHistory.description,Review recent safe security activity. Sensitive details and identifiers are never shown.
account.securityHistory.empty,No security activity is available
account.securityHistory.event.accessTokenRevoked,An access token was revoked
account.securityHistory.event.emailChangeFailed,An email address change failed
account.securityHistory.event.emailChangeRequested,An email address change was requested
account.securityHistory.event.emailChangeVerified,A new email address was verified
account.securityHistory.event.emailChanged,The account email address changed
account.securityHistory.event.identityLinked,An external identity was linked
account.securityHistory.event.identityUnlinked,An external identity was unlinked
account.securityHistory.event.impersonationEnded,An impersonation session ended
account.securityHistory.event.impersonationStarted,An impersonation session started
account.securityHistory.event.mfaCompleted,A multi-factor challenge was completed
account.securityHistory.event.mfaFailed,A multi-factor challenge failed
account.securityHistory.event.mfaStarted,A multi-factor challenge started
account.securityHistory.event.passkeyAuthenticationCompleted,A passkey authentication completed
account.securityHistory.event.passkeyAuthenticationStarted,A passkey authentication started
account.securityHistory.event.passkeyCredentialRevoked,A passkey was revoked
account.securityHistory.event.passkeyCredentialUsed,A passkey was used
account.securityHistory.event.passkeyRegistrationCompleted,A passkey registration completed
account.securityHistory.event.passkeyRegistrationStarted,A passkey registration started
account.securityHistory.event.passwordChanged,The password changed
account.securityHistory.event.passwordEmailVerified,The password email address was verified
account.securityHistory.event.passwordLocked,The password account was locked
account.securityHistory.event.passwordLoginFailed,A password sign-in failed
account.securityHistory.event.passwordLoginSucceeded,A password sign-in succeeded
account.securityHistory.event.passwordRecovered,The password was recovered
account.securityHistory.event.passwordRecoveryRequested,Password recovery was requested
account.securityHistory.event.passwordUnlocked,The password account was unlocked
account.securityHistory.event.passwordWhatsappVerified,The WhatsApp sign-in number was verified
account.securityHistory.event.recoveryCodeUsed,A recovery code was used
account.securityHistory.event.recoveryCodesGenerated,Recovery codes were generated
account.securityHistory.event.refreshTokenFamilyRevoked,A refresh-token family was revoked
account.securityHistory.event.sessionCreated,A session was created
account.securityHistory.event.sessionRevoked,A session was revoked
account.securityHistory.event.sessionRotated,A session was renewed
account.securityHistory.event.sessionsRevoked,All sessions were revoked
account.securityHistory.event.totpEnrollmentConfirmed,An authenticator was confirmed
account.securityHistory.event.totpEnrollmentStarted,Authenticator setup started
account.securityHistory.event.totpRemoved,An authenticator was removed
account.securityHistory.event.totpVerified,An authenticator challenge succeeded
account.securityHistory.loadMore,Load more security activity
account.sessionExpired,Ihre Sitzung ist abgelaufen
account.sessions.current,Aktuelle Sitzung
account.sessions.description,"Prüfen Sie Geräte, auf denen Ihr Konto angemeldet ist, und widerrufen Sie jede Sitzung, die Sie nicht kennen."
account.sessions.empty,Keine aktiven Sitzungen
account.sessions.lastUsed,Zuletzt verwendet {date}
account.sessions.revoke,Sitzung widerrufen
account.sessions.revokeConfirm,Diese Sitzung sofort widerrufen?
account.sessions.unknownDevice,Unbekanntes Gerät
account.status.available,Verfügbar
account.status.configured,Konfiguriert
account.status.notConfigured,Nicht konfiguriert
account.status.unavailable,Nicht verfügbar
admin.common.confirmTitle,Diese Aktion bestätigen
admin.common.next,Weiter
admin.common.pagination,Seitennavigation
admin.common.permission,"Sie haben keine Berechtigung, diese Administrationsdaten anzuzeigen."
admin.common.previous,Zurück
admin.events.actor,Akteur
admin.events.aggregate,Aggregat
admin.events.count,{count} Ereignisse
admin.events.description,"Unveränderliche Sicherheitsaktivität für den aktuellen Realm, neueste zuerst."
admin.events.empty,Keine Ereignisse entsprechen dem aktuellen Filter.
admin.events.hide,Nutzdaten ausblenden
admin.events.occurred,Aufgetreten
admin.events.payload,Nutzdaten
admin.events.redactionNotice,Geheime Werte werden vor dem Speichern eines Ereignisses geschwärzt.
admin.events.search,Ereignisse durchsuchen
admin.events.searchPlaceholder,"Nach Typ, Aggregat oder Akteur filtern"
admin.events.show,Nutzdaten anzeigen
admin.events.systemActor,System
admin.events.title,Audit-Ereignisse
admin.events.type,Ereignistyp
admin.impersonation.activeTitle,Active impersonation
admin.impersonation.actor,Administrator
admin.impersonation.assuranceRequired,Impersonating a user requires multi-factor authentication. Sign in again with a second factor to continue.
admin.impersonation.assuranceRequiredTitle,Stronger sign-in required
admin.impersonation.auditLink,View the audit events for this impersonation
admin.impersonation.bannerLabel,Impersonation in progress
admin.impersonation.bannerSummary,{actor} is acting as {subject}. This session ends in {remaining}.
admin.impersonation.description,"Act as another person for a short, recorded support session. A reason and a bounded duration are always required."
admin.impersonation.duration,Duration
admin.impersonation.durationHint,"Impersonation always ends automatically, after at most fifteen minutes."
admin.impersonation.durationInvalid,Choose a duration between one second and fifteen minutes.
admin.impersonation.durationMinutes,{count} minutes
admin.impersonation.end,Identitätsübernahme beenden
admin.impersonation.endConfirm,Die Identitätsübernahme von {subject} jetzt beenden?
admin.impersonation.endedNotice,Die Sitzung zur Identitätsübernahme wurde beendet.
admin.impersonation.expires,Ends
admin.impersonation.expiringSoon,This impersonation ends in under a minute.
admin.impersonation.nestedRejected,You are already acting as another user. End the current impersonation before starting a new one.
admin.impersonation.nestedRejectedTitle,Nested impersonation is not allowed
admin.impersonation.noOrganization,No organization
admin.impersonation.organization,Organization
admin.impersonation.organizationHint,Optional. Restrict the session to the permissions the person holds in one organization.
admin.impersonation.permissionDenied,You do not have permission to impersonate users in this realm.
admin.impersonation.permissionDeniedTitle,Zugriff nicht verfügbar
admin.impersonation.reason,Reason
admin.impersonation.reasonHint,Recorded in the audit trail and shown to the person you act as.
admin.impersonation.reasonRequired,Enter a reason between 3 and 256 characters.
admin.impersonation.remaining,Remaining
admin.impersonation.remainingValue,{minutes}:{seconds}
admin.impersonation.selfRejected,You cannot impersonate your own account.
admin.impersonation.start,Start impersonation
admin.impersonation.startConfirm,Start acting as {subject}? Everything you do will be recorded against your own identity.
admin.impersonation.startedAt,Started
admin.impersonation.startedNotice,You are now acting as {subject}.
admin.impersonation.subject,Acting as
admin.impersonation.target,User to impersonate
admin.impersonation.targetRequired,Choose the user you want to act as.
admin.impersonation.title,Impersonation
admin.impersonation.userAction,Impersonate this user
admin.machine.assuranceRequired,"Für die Verwaltung von Maschinenbenutzern und deren Anmeldedaten ist eine stärkere, aktuellere Anmeldung erforderlich. Melden Sie sich erneut an, um fortzufahren."
admin.machine.assuranceRequiredTitle,Stärkere Anmeldung erforderlich
admin.machine.created,Erstellt
admin.machine.credentials.apiKeyCreated,Der API-Schlüssel wurde ausgestellt.
admin.machine.credentials.description,"Anmeldedaten, die ein Maschinenbenutzer vorlegt, um ein Access-Token zu erhalten. Es werden nur deren Metadaten gespeichert, niemals der Wert."
admin.machine.credentials.empty,Dieser Maschinenbenutzer hat noch keine Anmeldedaten.
admin.machine.credentials.expires,Läuft ab
admin.machine.credentials.expiresHint,"Lassen Sie dies leer, um Anmeldedaten ohne Ablauf auszustellen."
admin.machine.credentials.expiryInvalid,Geben Sie ein gültiges Ablaufdatum ein oder lassen Sie das Feld leer für Zugangsdaten ohne Ablauf.
admin.machine.credentials.expiryPast,Wählen Sie ein Ablaufdatum in der Zukunft.
admin.machine.credentials.issue,Anmeldedaten ausstellen
admin.machine.credentials.issueDescription,Stellen Sie ein persönliches Zugriffstoken oder einen API-Schlüssel aus. Der Wert wird einmalig angezeigt und kann nicht wiederhergestellt werden.
admin.machine.credentials.kind,Art der Anmeldedaten
admin.machine.credentials.kindAccessToken,Access-Token
admin.machine.credentials.kindApiKey,API-Schlüssel
admin.machine.credentials.kindClientSecret,Client-Secret
admin.machine.credentials.kindHint,Ein persönliches Zugriffstoken handelt direkt für den Maschinenbenutzer. Ein API-Schlüssel ist für eine einzelne Integration gedacht.
admin.machine.credentials.kindToken,Persönliches Zugriffstoken
admin.machine.credentials.name,Name
admin.machine.credentials.nameRequired,"Geben Sie einen Namen ein, damit diese Zugangsdaten später erkennbar sind."
admin.machine.credentials.neverExpires,Läuft nicht ab
admin.machine.credentials.onceWarning,"Der ausgestellte Wert wird einmalig angezeigt. Speichern Sie ihn, bevor Sie diesen Dialog schließen; er kann nicht erneut abgerufen werden."
admin.machine.credentials.revoke,Widerrufen
admin.machine.credentials.revokeConfirm,"Diese Berechtigung widerrufen? Alles, was sie verwendet, funktioniert sofort nicht mehr."
admin.machine.credentials.revoked,Die Anmeldedaten wurden widerrufen.
admin.machine.credentials.scopes,Scopes
admin.machine.credentials.scopesHint,"Trennen Sie Scopes durch Leerzeichen oder Kommas. Lassen Sie das Feld leer, um die Scopes des Maschinenbenutzers zu übernehmen."
admin.machine.credentials.stateActive,Aktiv
admin.machine.credentials.stateExpired,Abgelaufen
admin.machine.credentials.stateRevoked,Widerrufen
admin.machine.credentials.subject,Maschinenbenutzer
admin.machine.credentials.title,Anmeldedaten und Token
admin.machine.credentials.tokenCreated,Das persönliche Zugriffstoken wurde ausgestellt.
admin.machine.credentials.unnamed,Unbenannte Anmeldedaten
admin.machine.crossTenant,Dieser Maschinenbenutzer gehört zu einem anderen Realm und ist hier nicht verfügbar.
admin.machine.lifecycle.activate,Aktivieren
admin.machine.lifecycle.deactivate,Deaktivieren
admin.machine.lifecycle.description,Durch die Deaktivierung können sich keine Anmeldedaten mehr authentifizieren. Das Entfernen ist endgültig und kann nicht rückgängig gemacht werden.
admin.machine.lifecycle.remove,Maschinenbenutzer entfernen
admin.machine.lifecycle.removeConfirm,Diesen Maschinenbenutzer entfernen? Alle seine Berechtigungen funktionieren sofort nicht mehr und können nicht wiederhergestellt werden.
admin.machine.lifecycle.title,Lebenszyklus
admin.machine.permissionDenied,"Sie haben keine Berechtigung, Maschinenbenutzer in diesem Realm anzusehen oder zu ändern."
admin.machine.permissionDeniedTitle,Zugriff nicht verfügbar
admin.machine.secret.acknowledge,Ich habe das Secret gespeichert
admin.machine.secret.apiKeyTitle,Neuer API-Schlüssel
admin.machine.secret.clientId,Client-ID
admin.machine.secret.clientTitle,Neues Client-Secret
admin.machine.secret.copied,In die Zwischenablage kopiert
admin.machine.secret.copy,Secret kopieren
admin.machine.secret.copyFailed,Die Zwischenablage ist nicht verfügbar. Markieren und kopieren Sie den Wert manuell.
admin.machine.secret.description,Mit dem Client-Secret kann dieser Maschinenbenutzer seine Client-Anmeldedaten gegen ein Access-Token eintauschen. Es wird nur schreibend gespeichert und kann ausschließlich rotiert werden.
admin.machine.secret.once,Nur dieses eine Mal wird der Wert für {name} angezeigt. Speichern Sie ihn jetzt; er kann nicht wiederhergestellt werden.
admin.machine.secret.redacted,Gespeichert und verborgen
admin.machine.secret.rotate,Client-Secret rotieren
admin.machine.secret.rotateConfirm,Dieses Client-Secret rotieren? Das aktuelle Secret funktioniert sofort nicht mehr und kann nicht wiederhergestellt werden.
admin.machine.secret.rotated,Das Client-Secret wurde rotiert.
admin.machine.secret.title,Client-Secret
admin.machine.secret.tokenTitle,Neues persönliches Zugriffstoken
admin.machine.secret.value,Secret-Wert
admin.machine.status,Status
admin.machine.statusValue.active,Aktiv
admin.machine.statusValue.inactive,Inaktiv
admin.machine.statusValue.removed,Entfernt
admin.machine.updated,Zuletzt aktualisiert
admin.machine.users.create,Maschinenbenutzer erstellen
admin.machine.users.createDescription,Erstellen Sie eine nicht-menschliche Identität für einen Dienst oder eine Integration. Ihr Client-Secret wird einmalig angezeigt.
admin.machine.users.createSecretHint,Eine Client-ID und ein Client-Secret werden sofort ausgestellt. Das Secret wird einmalig angezeigt und kann nicht wiederhergestellt werden.
admin.machine.users.created,Der Maschinenbenutzer wurde erstellt.
admin.machine.users.description,"Nicht-menschliche Identitäten, die sich in diesem Realm mit Client-Anmeldedaten, Token oder API-Schlüsseln authentifizieren."
admin.machine.users.detailTitle,Maschinenbenutzerdetails
admin.machine.users.displayName,Anzeigename
admin.machine.users.empty,In diesem Realm existiert noch kein Maschinenbenutzer.
admin.machine.users.identifier,Maschinenbenutzer-Kennung
admin.machine.users.invalid,Geben Sie einen Anzeigenamen und einen Benutzernamen ein und verwenden Sie nur gültige Scope-Werte.
admin.machine.users.lifecycleChanged,Der Status des Maschinenbenutzers wurde geändert.
admin.machine.users.missingId,Für dieses Ziel muss ein Maschinenbenutzer ausgewählt sein.
admin.machine.users.noScopes,Keine Scopes
admin.machine.users.scopes,Scopes
admin.machine.users.scopesHint,Trennen Sie Scopes durch Leerzeichen oder Kommas. Scopes werden exakt abgeglichen.
admin.machine.users.search,Maschinenbenutzer suchen
admin.machine.users.title,Maschinenbenutzer
admin.machine.users.userName,Benutzername
admin.machine.users.userNameHint,Wird beim Austausch von Client-Anmeldedaten als Client-ID verwendet.
admin.navigation.description,Choose an administration resource
admin.navigation.hide,Hide sidebar
admin.navigation.label,Administration
admin.navigation.title,Administration navigation
admin.oidc.assuranceRequired,"Für die Verwaltung der OpenID-Connect-Einstellungen ist eine stärkere, aktuellere Anmeldung erforderlich. Melden Sie sich erneut an, um fortzufahren."
admin.oidc.assuranceRequiredTitle,Stärkere Anmeldung erforderlich
admin.oidc.clients.consent,Zustimmung
admin.oidc.clients.consentRequired,Erforderlich
admin.oidc.clients.consentSkipped,Nicht erforderlich
admin.oidc.clients.create,Client registrieren
admin.oidc.clients.createDescription,"Registrieren Sie eine Anwendung, die Personen über OpenID Connect anmeldet. Ein vertraulicher Client erhält einmalig ein Secret."
admin.oidc.clients.created,Der Client wurde registriert.
admin.oidc.clients.description,"Anwendungen, die Personen in diesem Realm über OpenID Connect authentifizieren."
admin.oidc.clients.detailTitle,OIDC-Clientdetails
admin.oidc.clients.empty,In diesem Realm ist noch kein OpenID-Connect-Client registriert.
admin.oidc.clients.exactMatchHint,"Eine URI pro Zeile. Jede Weiterleitung wird exakt abgeglichen, daher werden Platzhalter und abweichende Endungen abgelehnt."
admin.oidc.clients.identifier,Client-Kennung
admin.oidc.clients.invalid,"Geben Sie einen Clientnamen, mindestens eine exakte Redirect-URI und mindestens einen Scope ein."
admin.oidc.clients.lifecycleChanged,Der Status des Clients wurde geändert.
admin.oidc.clients.missingId,Für dieses Ziel muss ein OIDC-Client ausgewählt sein.
admin.oidc.clients.name,Client-Name
admin.oidc.clients.postLogoutUris,Weiterleitungs-URIs nach der Abmeldung
admin.oidc.clients.redirectUris,Weiterleitungs-URIs
admin.oidc.clients.removeConfirm,"Diesen OIDC-Client entfernen? Anwendungen, die ihn nutzen, funktionieren sofort nicht mehr."
admin.oidc.clients.requireConsent,Die Person um Zustimmung zu dieser Anwendung bitten
admin.oidc.clients.saved,Der Client wurde gespeichert.
admin.oidc.clients.scopes,Erlaubte Scopes
admin.oidc.clients.search,Clients suchen
admin.oidc.clients.settingsDescription,"Steuern Sie den Client-Namen, die exakten Weiterleitungs-URIs, die erlaubten Scopes und den Umgang mit der Zustimmung."
admin.oidc.clients.settingsTitle,Client-Einstellungen
admin.oidc.clients.statusValue.active,Aktiv
admin.oidc.clients.statusValue.inactive,Inaktiv
admin.oidc.clients.statusValue.removed,Entfernt
admin.oidc.clients.title,OpenID-Connect-Clients
admin.oidc.clients.trusted,Vertrauenswürdig
admin.oidc.clients.trustedHint,Ein vertrauenswürdiger Client überspringt den Zustimmungsdialog vollständig. Markieren Sie nur eigene Anwendungen als vertrauenswürdig.
admin.oidc.clients.type,Client-Typ
admin.oidc.clients.typeConfidential,Vertraulich
admin.oidc.clients.typeHint,"Ein vertraulicher Client bewahrt ein Secret auf einem Server auf. Ein öffentlicher Client, etwa eine Mobil- oder Single-Page-App, kann das nicht."
admin.oidc.clients.typePublic,Öffentlich
admin.oidc.confirmTitle,Diese Änderung bestätigen
admin.oidc.consents.client,Anwendung
admin.oidc.consents.description,"Anwendungen, denen eine Person zugestimmt hat. Ein Widerruf führt dazu, dass die Anwendung erneut bestätigt werden muss."
admin.oidc.consents.empty,Diese Person hat noch keiner Anwendung zugestimmt.
admin.oidc.consents.granted,Zugestimmt
admin.oidc.consents.revokeConfirm,Diese Einwilligung widerrufen? Die Person wird erneut um Zustimmung gebeten.
admin.oidc.consents.revoked,Die Zustimmung wurde widerrufen.
admin.oidc.consents.title,Anwendungszustimmungen
admin.oidc.consents.user,Person
admin.oidc.created,Erstellt
admin.oidc.crossTenant,Diese Ressource gehört zu einem anderen Realm und ist hier nicht verfügbar.
admin.oidc.documents.authorizationEndpoint,Autorisierungs-Endpunkt
admin.oidc.documents.copied,Kopiert
admin.oidc.documents.copy,Dokument kopieren
admin.oidc.documents.description,"Die Protokolldokumente, die Authworks für diesen Realm veröffentlicht, genau so, wie eine Client-Bibliothek sie liest."
admin.oidc.documents.discoveryDescription,"Die OpenID-Provider-Metadaten, die über den Well-Known-Endpunkt ausgeliefert werden."
admin.oidc.documents.discoveryTitle,Discovery-Dokument
admin.oidc.documents.empty,Für diesen Realm sind noch keine Protokolldokumente veröffentlicht.
admin.oidc.documents.endSessionEndpoint,Endpunkt zum Beenden der Sitzung
admin.oidc.documents.issuer,Aussteller
admin.oidc.documents.jwksDescription,"Die öffentlichen Schlüssel, mit denen von diesem Realm ausgestellte Token geprüft werden."
admin.oidc.documents.jwksTitle,JSON Web Key Set
admin.oidc.documents.jwksUri,JWKS-URI
admin.oidc.documents.open,Endpunkt öffnen
