key,it
account.securityHistory.event.passkeyRegistrationCompleted,A passkey registration completed
account.securityHistory.event.passkeyRegistrationStarted,A passkey registration started
account.securityHistory.event.passwordChanged,The password changed
account.securityHistory.event.passwordEmailVerified,The password email address was verified
account.securityHistory.event.passwordLocked,The password account was locked
account.securityHistory.event.passwordLoginFailed,A password sign-in failed
account.securityHistory.event.passwordLoginSucceeded,A password sign-in succeeded
account.securityHistory.event.passwordRecovered,The password was recovered
account.securityHistory.event.passwordRecoveryRequested,Password recovery was requested
account.securityHistory.event.passwordUnlocked,The password account was unlocked
account.securityHistory.event.passwordWhatsappVerified,The WhatsApp sign-in number was verified
account.securityHistory.event.recoveryCodeUsed,A recovery code was used
account.securityHistory.event.recoveryCodesGenerated,Recovery codes were generated
account.securityHistory.event.refreshTokenFamilyRevoked,A refresh-token family was revoked
account.securityHistory.event.sessionCreated,A session was created
account.securityHistory.event.sessionRevoked,A session was revoked
account.securityHistory.event.sessionRotated,A session was renewed
account.securityHistory.event.sessionsRevoked,All sessions were revoked
account.securityHistory.event.totpEnrollmentConfirmed,An authenticator was confirmed
account.securityHistory.event.totpEnrollmentStarted,Authenticator setup started
account.securityHistory.event.totpRemoved,An authenticator was removed
account.securityHistory.event.totpVerified,An authenticator challenge succeeded
account.securityHistory.loadMore,Load more security activity
account.sessionExpired,Your session has expired
account.sessions.current,Current session
account.sessions.description,Review devices where your account is signed in and revoke any session you do not recognize.
account.sessions.empty,No active sessions
account.sessions.lastUsed,Last used {date}
account.sessions.revoke,Revoke session
account.sessions.revokeConfirm,Revoke this session immediately?
account.sessions.unknownDevice,Unknown device
account.status.available,Available
account.status.configured,Configured
account.status.notConfigured,Not configured
account.status.unavailable,Unavailable
admin.common.confirmTitle,Confermare questa azione
admin.common.next,Avanti
admin.common.pagination,Paginazione
admin.common.permission,Non hai il permesso di visualizzare questi dati di amministrazione.
admin.common.previous,Indietro
admin.events.actor,Attore
admin.events.aggregate,Aggregato
admin.events.count,{count} eventi
admin.events.description,"Attività di sicurezza immutabile per il realm corrente, dalla più recente."
admin.events.empty,Nessun evento corrisponde al filtro corrente.
admin.events.hide,Nascondi payload
admin.events.occurred,Avvenuto
admin.events.payload,Payload
admin.events.redactionNotice,I valori segreti vengono oscurati prima che un evento sia memorizzato.
admin.events.search,Cerca eventi
admin.events.searchPlaceholder,"Filtra per tipo, aggregato o attore"
admin.events.show,Mostra payload
admin.events.systemActor,Sistema
admin.events.title,Eventi di audit
admin.events.type,Tipo di evento
admin.impersonation.activeTitle,Active impersonation
admin.impersonation.actor,Administrator
admin.impersonation.assuranceRequired,Impersonating a user requires multi-factor authentication. Sign in again with a second factor to continue.
admin.impersonation.assuranceRequiredTitle,Stronger sign-in required
admin.impersonation.auditLink,View the audit events for this impersonation
admin.impersonation.bannerLabel,Impersonation in progress
admin.impersonation.bannerSummary,{actor} is acting as {subject}. This session ends in {remaining}.
admin.impersonation.description,"Act as another person for a short, recorded support session. A reason and a bounded duration are always required."
admin.impersonation.duration,Duration
admin.impersonation.durationHint,"Impersonation always ends automatically, after at most fifteen minutes."
admin.impersonation.durationInvalid,Choose a duration between one second and fifteen minutes.
admin.impersonation.durationMinutes,{count} minutes
admin.impersonation.end,End impersonation
admin.impersonation.endConfirm,End the impersonation of {subject} now?
admin.impersonation.endedNotice,The impersonation session was ended.
admin.impersonation.expires,Ends
admin.impersonation.expiringSoon,This impersonation ends in under a minute.
admin.impersonation.nestedRejected,You are already acting as another user. End the current impersonation before starting a new one.
admin.impersonation.nestedRejectedTitle,Nested impersonation is not allowed
admin.impersonation.noOrganization,No organization
admin.impersonation.organization,Organization
admin.impersonation.organizationHint,Optional. Restrict the session to the permissions the person holds in one organization.
admin.impersonation.permissionDenied,You do not have permission to impersonate users in this realm.
admin.impersonation.permissionDeniedTitle,Accesso non disponibile
admin.impersonation.reason,Reason
admin.impersonation.reasonHint,Recorded in the audit trail and shown to the person you act as.
admin.impersonation.reasonRequired,Enter a reason between 3 and 256 characters.
admin.impersonation.remaining,Remaining
admin.impersonation.remainingValue,{minutes}:{seconds}
admin.impersonation.selfRejected,You cannot impersonate your own account.
admin.impersonation.start,Start impersonation
admin.impersonation.startConfirm,Start acting as {subject}? Everything you do will be recorded against your own identity.
admin.impersonation.startedAt,Started
admin.impersonation.startedNotice,You are now acting as {subject}.
admin.impersonation.subject,Acting as
admin.impersonation.target,User to impersonate
admin.impersonation.targetRequired,Choose the user you want to act as.
admin.impersonation.title,Impersonation
admin.impersonation.userAction,Impersonate this user
admin.machine.assuranceRequired,La gestione degli utenti macchina e delle loro credenziali richiede un accesso più forte e più recente. Accedi di nuovo per continuare.
admin.machine.assuranceRequiredTitle,È richiesto un accesso più forte
admin.machine.created,Creato
admin.machine.credentials.apiKeyCreated,La chiave API è stata emessa.
admin.machine.credentials.description,"Credenziali che un utente macchina presenta per ottenere un token di accesso. Vengono memorizzati solo i metadati, mai il valore."
admin.machine.credentials.empty,Questo utente macchina non ha ancora credenziali.
admin.machine.credentials.expires,Scade
admin.machine.credentials.expiresHint,Lascia vuoto per emettere una credenziale senza scadenza.
admin.machine.credentials.expiryInvalid,Inserisci una data di scadenza valida oppure lascia il campo vuoto per una credenziale senza scadenza.
admin.machine.credentials.expiryPast,Scegli una data di scadenza futura.
admin.machine.credentials.issue,Emetti credenziale
admin.machine.credentials.issueDescription,Emetti un token di accesso personale o una chiave API. Il valore viene mostrato una sola volta e non può essere recuperato.
admin.machine.credentials.kind,Tipo di credenziale
admin.machine.credentials.kindAccessToken,Token di accesso
admin.machine.credentials.kindApiKey,Chiave API
admin.machine.credentials.kindClientSecret,Secret del client
admin.machine.credentials.kindHint,Un token di accesso personale agisce direttamente per l'utente macchina. Una chiave API è pensata per una singola integrazione.
admin.machine.credentials.kindToken,Token di accesso personale
admin.machine.credentials.name,Nome
admin.machine.credentials.nameRequired,Inserisci un nome per riconoscere questa credenziale in seguito.
admin.machine.credentials.neverExpires,Non scade
admin.machine.credentials.onceWarning,Il valore emesso viene mostrato una sola volta. Salvalo prima di chiudere questa finestra; non potrà essere recuperato di nuovo.
admin.machine.credentials.revoke,Revoca
admin.machine.credentials.revokeConfirm,Revocare questa credenziale? Tutto ciò che la utilizza smette immediatamente di funzionare.
admin.machine.credentials.revoked,La credenziale è stata revocata.
admin.machine.credentials.scopes,Ambiti
admin.machine.credentials.scopesHint,Separa gli ambiti con spazi o virgole. Lascia vuoto per ereditare gli ambiti dell'utente macchina.
admin.machine.credentials.stateActive,Attiva
admin.machine.credentials.stateExpired,Scaduta
admin.machine.credentials.stateRevoked,Revocata
admin.machine.credentials.subject,Utente macchina
admin.machine.credentials.title,Credenziali e token
admin.machine.credentials.tokenCreated,Il token di accesso personale è stato emesso.
admin.machine.credentials.unnamed,Credenziale senza nome
admin.machine.crossTenant,Questo utente macchina appartiene a un altro realm e non è disponibile qui.
admin.machine.lifecycle.activate,Attiva
admin.machine.lifecycle.deactivate,Disattiva
admin.machine.lifecycle.description,La disattivazione impedisce a ogni credenziale di autenticarsi. La rimozione è definitiva e non può essere annullata.
admin.machine.lifecycle.remove,Rimuovi utente macchina
admin.machine.lifecycle.removeConfirm,Rimuovere questo utente macchina? Tutte le sue credenziali smettono immediatamente di funzionare e non possono essere ripristinate.
admin.machine.lifecycle.title,Ciclo di vita
admin.machine.permissionDenied,Non hai il permesso di visualizzare o modificare gli utenti macchina in questo realm.
admin.machine.permissionDeniedTitle,Accesso non disponibile
admin.machine.secret.acknowledge,Ho salvato il secret
admin.machine.secret.apiKeyTitle,Nuova chiave API
admin.machine.secret.clientId,ID client
admin.machine.secret.clientTitle,Nuovo secret del client
admin.machine.secret.copied,Copiato negli appunti
admin.machine.secret.copy,Copia il secret
admin.machine.secret.copyFailed,Gli appunti non sono disponibili. Seleziona e copia il valore manualmente.
admin.machine.secret.description,Il secret del client consente a questo utente macchina di scambiare le proprie credenziali client con un token di accesso. È memorizzato in sola scrittura e può soltanto essere ruotato.
admin.machine.secret.once,Questa è l'unica volta in cui il valore per {name} viene mostrato. Salvalo ora; non potrà essere recuperato.
admin.machine.secret.redacted,Memorizzato e nascosto
admin.machine.secret.rotate,Ruota il secret del client
admin.machine.secret.rotateConfirm,Ruotare questo segreto client? Il segreto attuale smette immediatamente di funzionare e non può essere recuperato.
admin.machine.secret.rotated,Il secret del client è stato ruotato.
admin.machine.secret.title,Secret del client
admin.machine.secret.tokenTitle,Nuovo token di accesso personale
admin.machine.secret.value,Valore del secret
admin.machine.status,Stato
admin.machine.statusValue.active,Attivo
admin.machine.statusValue.inactive,Inattivo
admin.machine.statusValue.removed,Rimosso
admin.machine.updated,Ultimo aggiornamento
admin.machine.users.create,Crea utente macchina
admin.machine.users.createDescription,Crea un'identità non umana per un servizio o un'integrazione. Il suo secret del client viene mostrato una sola volta.
admin.machine.users.createSecretHint,Un ID client e un secret del client vengono emessi immediatamente. Il secret viene mostrato una sola volta e non può essere recuperato.
admin.machine.users.created,L'utente macchina è stato creato.
admin.machine.users.description,"Identità non umane che si autenticano con credenziali client, token o chiavi API in questo realm."
admin.machine.users.detailTitle,Dettagli dell'utente macchina
admin.machine.users.displayName,Nome visualizzato
admin.machine.users.empty,In questo realm non esiste ancora alcun utente macchina.
admin.machine.users.identifier,Identificativo dell'utente macchina
admin.machine.users.invalid,Inserisci un nome visualizzato e un nome utente e usa solo valori di ambito validi.
admin.machine.users.lifecycleChanged,Lo stato dell'utente macchina è stato modificato.
admin.machine.users.missingId,Per questa destinazione deve essere selezionato un utente macchina.
admin.machine.users.noScopes,Nessun ambito
admin.machine.users.scopes,Ambiti
admin.machine.users.scopesHint,Separa gli ambiti con spazi o virgole. Gli ambiti vengono confrontati esattamente.
admin.machine.users.search,Cerca utenti macchina
admin.machine.users.title,Utenti macchina
admin.machine.users.userName,Nome utente
admin.machine.users.userNameHint,Usato come ID client durante lo scambio delle credenziali client.
admin.navigation.description,Choose an administration resource
admin.navigation.hide,Hide sidebar
admin.navigation.label,Amministrazione
admin.navigation.title,Administration navigation
admin.oidc.assuranceRequired,La gestione delle impostazioni OpenID Connect richiede un accesso più forte e più recente. Accedi di nuovo per continuare.
admin.oidc.assuranceRequiredTitle,Accesso più forte richiesto
admin.oidc.clients.consent,Consenso
admin.oidc.clients.consentRequired,Obbligatorio
admin.oidc.clients.consentSkipped,Non obbligatorio
admin.oidc.clients.create,Registra client
admin.oidc.clients.createDescription,Registra un'applicazione che autentica le persone con OpenID Connect. Un client riservato riceve un secret una sola volta.
admin.oidc.clients.created,Il client è stato registrato.
admin.oidc.clients.description,Applicazioni che autenticano le persone tramite OpenID Connect in questo realm.
admin.oidc.clients.detailTitle,Dettagli del client OIDC
admin.oidc.clients.empty,In questo realm non è ancora registrato alcun client OpenID Connect.
admin.oidc.clients.exactMatchHint,"Un URI per riga. Ogni reindirizzamento viene confrontato in modo esatto, quindi i caratteri jolly e le differenze finali vengono rifiutati."
admin.oidc.clients.identifier,Identificativo del client
admin.oidc.clients.invalid,"Inserisci un nome client, almeno un URI di reindirizzamento esatto e almeno un ambito."
admin.oidc.clients.lifecycleChanged,Lo stato del client è stato modificato.
admin.oidc.clients.missingId,Per questa destinazione deve essere selezionato un client OIDC.
admin.oidc.clients.name,Nome del client
admin.oidc.clients.postLogoutUris,URI di reindirizzamento dopo la disconnessione
admin.oidc.clients.redirectUris,URI di reindirizzamento
admin.oidc.clients.removeConfirm,Rimuovere questo client OIDC? Le applicazioni che lo usano smettono immediatamente di funzionare.
admin.oidc.clients.requireConsent,Chiedi alla persona di approvare questa applicazione
admin.oidc.clients.saved,Il client è stato salvato.
admin.oidc.clients.scopes,Ambiti consentiti
admin.oidc.clients.search,Cerca client
admin.oidc.clients.settingsDescription,"Controlla il nome del client, gli URI di reindirizzamento esatti, gli ambiti consentiti e la gestione del consenso."
admin.oidc.clients.settingsTitle,Impostazioni del client
admin.oidc.clients.statusValue.active,Attivo
admin.oidc.clients.statusValue.inactive,Inattivo
admin.oidc.clients.statusValue.removed,Rimossa
admin.oidc.clients.title,Client OpenID Connect
admin.oidc.clients.trusted,Attendibile
admin.oidc.clients.trustedHint,Un client attendibile salta completamente la schermata di consenso. Contrassegna come attendibili solo le applicazioni proprie.
admin.oidc.clients.type,Tipo di client
admin.oidc.clients.typeConfidential,Riservato
admin.oidc.clients.typeHint,"Un client riservato conserva un secret su un server. Un client pubblico, come un'app mobile o a pagina singola, non può farlo."
admin.oidc.clients.typePublic,Pubblico
admin.oidc.confirmTitle,Confermare questa modifica
admin.oidc.consents.client,Applicazione
admin.oidc.consents.description,Applicazioni che una persona ha approvato. Revocare un consenso le chiede di approvare nuovamente l'applicazione.
admin.oidc.consents.empty,Questa persona non ha ancora approvato alcuna applicazione.
admin.oidc.consents.granted,Approvata
admin.oidc.consents.revokeConfirm,Revocare questo consenso? Alla persona verrà chiesto di approvare nuovamente l'applicazione.
admin.oidc.consents.revoked,Il consenso è stato revocato.
admin.oidc.consents.title,Consensi delle applicazioni
admin.oidc.consents.user,Persona
admin.oidc.created,Creato
admin.oidc.crossTenant,Questa risorsa appartiene a un altro realm e non è disponibile qui.
admin.oidc.documents.authorizationEndpoint,Endpoint di autorizzazione
admin.oidc.documents.copied,Copiato
admin.oidc.documents.copy,Copia documento
admin.oidc.documents.description,"I documenti di protocollo che Authworks pubblica per questo realm, esattamente come li legge una libreria client."
admin.oidc.documents.discoveryDescription,I metadati del provider OpenID serviti dall'endpoint well-known.
admin.oidc.documents.discoveryTitle,Documento di discovery
admin.oidc.documents.empty,Per questo realm non è ancora pubblicato alcun documento di protocollo.
admin.oidc.documents.endSessionEndpoint,Endpoint di fine sessione
admin.oidc.documents.issuer,Emittente
admin.oidc.documents.jwksDescription,Le chiavi pubbliche che verificano i token emessi da questo realm.
admin.oidc.documents.jwksTitle,Set di chiavi web JSON
admin.oidc.documents.jwksUri,URI JWKS
admin.oidc.documents.open,Apri endpoint
admin.oidc.documents.readOnly,Questi documenti sono generati dalla configurazione del realm e dalle chiavi di firma. Non possono essere modificati qui.
admin.oidc.documents.showRaw,Mostra il documento grezzo
admin.oidc.documents.title,Documenti di protocollo
admin.oidc.documents.tokenEndpoint,Endpoint del token
admin.oidc.documents.userinfoEndpoint,Endpoint userinfo
admin.oidc.keys.algorithm,Algoritmo
admin.oidc.keys.create,Aggiungi chiave
admin.oidc.keys.created,È stata pubblicata una nuova chiave di firma.
admin.oidc.keys.description,Le chiavi che firmano i token di questo realm. La rotazione pubblica una nuova chiave e ritira quella corrente.
admin.oidc.keys.empty,Per questo realm non esiste ancora alcuna chiave di firma.
admin.oidc.keys.keyId,ID chiave
admin.oidc.keys.privateNotice,Vengono mostrati solo i metadati della chiave pubblica. Il materiale della chiave privata non viene mai inviato al browser.
admin.oidc.keys.retire,Ritira
admin.oidc.keys.retireConfirm,Ritirare questa chiave di firma? I token firmati con essa non potranno più essere verificati una volta che lascia il JWKS.
admin.oidc.keys.retired,La chiave di firma è stata ritirata.
admin.oidc.keys.retiredAt,Ritirata
admin.oidc.keys.rotate,Ruota chiave
admin.oidc.keys.rotateConfirm,Ruotare la chiave di firma? Viene pubblicata una nuova chiave e quella attuale viene ritirata.
admin.oidc.keys.rotated,La chiave di firma è stata ruotata.
admin.oidc.keys.statusValue.active,Attivo
admin.oidc.keys.statusValue.retired,Ritirata
admin.oidc.keys.title,Chiavi di firma
admin.oidc.lifecycle.activate,Attiva
admin.oidc.lifecycle.deactivate,Disattiva
admin.oidc.lifecycle.remove,Rimuovi client
admin.oidc.permissionDenied,Non hai l'autorizzazione per visualizzare o modificare le impostazioni OpenID Connect in questo realm.
admin.oidc.permissionDeniedTitle,Accesso non disponibile
admin.oidc.secret.acknowledge,Ho salvato il secret
admin.oidc.secret.copied,Copiato negli appunti
admin.oidc.secret.copy,Copia il secret
admin.oidc.secret.copyFailed,Gli appunti non sono disponibili. Seleziona e copia il valore manualmente.
admin.oidc.secret.createdTitle,Nuovo secret del client
admin.oidc.secret.description,Il secret del client memorizzato non viene mai più mostrato. Ruotalo per emetterne uno nuovo oppure revocalo per impedire al client di autenticarsi.
admin.oidc.secret.once,Questa è l'unica volta in cui il secret di {client} viene mostrato. Salvalo ora; non può essere recuperato.
admin.oidc.secret.publicClient,"Un client pubblico si autentica senza secret, quindi non c'è nulla da ruotare."
admin.oidc.secret.redacted,Memorizzato e nascosto
admin.oidc.secret.revoke,Revoca il secret
admin.oidc.secret.revokeConfirm,Revocare questo segreto client? Il client non può autenticarsi finché non ne viene emesso uno nuovo.
admin.oidc.secret.revoked,Il secret del client è stato revocato.
admin.oidc.secret.rotate,Ruota il secret
admin.oidc.secret.rotateConfirm,Ruotare questo segreto client? Il segreto attuale smette immediatamente di funzionare.
admin.oidc.secret.rotated,Il secret del client è stato ruotato.
admin.oidc.secret.rotatedTitle,Secret del client ruotato
admin.oidc.secret.title,Secret del client
admin.oidc.status,Stato
admin.oidc.updated,Ultimo aggiornamento
admin.organizations.assuranceRequired,Accedi di nuovo con un metodo di autenticazione più forte per modificare questa impostazione dell'organizzazione.
admin.organizations.assuranceRequiredTitle,Accesso più forte richiesto
admin.organizations.branding.background,Colore di sfondo
admin.organizations.branding.dark,Tema scuro
admin.organizations.branding.description,"Colori, loghi e link legali mostrati nelle schermate di accesso e account ospitate."
admin.organizations.branding.font,Colore del testo
admin.organizations.branding.iconUrl,URL dell'icona
admin.organizations.branding.light,Tema chiaro
admin.organizations.branding.logoUrl,URL del logo
admin.organizations.branding.preview,Anteprima
admin.organizations.branding.primary,Colore primario
admin.organizations.branding.privacyUrl,URL dell'informativa sulla privacy
admin.organizations.branding.saved,La personalizzazione è stata salvata.
admin.organizations.branding.termsUrl,URL dei termini di servizio
admin.organizations.branding.themeMode,Tema predefinito
admin.organizations.branding.title,Personalizzazione
