key,nl
admin.machine.credentials.name,Naam
admin.machine.credentials.nameRequired,Voer een naam in zodat deze referentie later herkenbaar is.
admin.machine.credentials.neverExpires,Verloopt niet
admin.machine.credentials.onceWarning,De uitgegeven waarde wordt eenmalig getoond. Bewaar deze voordat u dit venster sluit; ze kan niet opnieuw worden opgehaald.
admin.machine.credentials.revoke,Intrekken
admin.machine.credentials.revokeConfirm,Deze credential intrekken? Alles wat deze gebruikt werkt onmiddellijk niet meer.
admin.machine.credentials.revoked,De referentie is ingetrokken.
admin.machine.credentials.scopes,Scopes
admin.machine.credentials.scopesHint,Scheid scopes met spaties of komma's. Laat leeg om de scopes van de machinegebruiker over te nemen.
admin.machine.credentials.stateActive,Actief
admin.machine.credentials.stateExpired,Verlopen
admin.machine.credentials.stateRevoked,Ingetrokken
admin.machine.credentials.subject,Machinegebruiker
admin.machine.credentials.title,Referenties en tokens
admin.machine.credentials.tokenCreated,Het persoonlijke toegangstoken is uitgegeven.
admin.machine.credentials.unnamed,Naamloze referentie
admin.machine.crossTenant,Deze machinegebruiker hoort bij een ander realm en is hier niet beschikbaar.
admin.machine.lifecycle.activate,Activeren
admin.machine.lifecycle.deactivate,Deactiveren
admin.machine.lifecycle.description,Deactiveren zorgt ervoor dat geen enkele referentie zich nog kan authenticeren. Verwijderen is definitief en kan niet ongedaan worden gemaakt.
admin.machine.lifecycle.remove,Machinegebruiker verwijderen
admin.machine.lifecycle.removeConfirm,Deze machinegebruiker verwijderen? Alle credentials ervan werken onmiddellijk niet meer en kunnen niet worden hersteld.
admin.machine.lifecycle.title,Levenscyclus
admin.machine.pageNext,Volgende pagina
admin.machine.pagePrevious,Vorige pagina
admin.machine.permissionDenied,U hebt geen toestemming om machinegebruikers in dit realm te bekijken of te wijzigen.
admin.machine.permissionDeniedTitle,Toegang niet beschikbaar
admin.machine.secret.acknowledge,Ik heb het geheim opgeslagen
admin.machine.secret.apiKeyTitle,Nieuwe API-sleutel
admin.machine.secret.clientId,Client-ID
admin.machine.secret.clientTitle,Nieuw clientgeheim
admin.machine.secret.copied,Gekopieerd naar het klembord
admin.machine.secret.copy,Geheim kopiëren
admin.machine.secret.copyFailed,Het klembord is niet beschikbaar. Selecteer en kopieer de waarde handmatig.
admin.machine.secret.description,Met het clientgeheim kan deze machinegebruiker zijn clientreferenties inwisselen voor een toegangstoken. Het wordt alleen-schrijven opgeslagen en kan uitsluitend worden geroteerd.
admin.machine.secret.once,Dit is de enige keer dat de waarde voor {name} wordt getoond. Bewaar deze nu; ze kan niet worden hersteld.
admin.machine.secret.redacted,Opgeslagen en verborgen
admin.machine.secret.rotate,Clientgeheim roteren
admin.machine.secret.rotateConfirm,Dit clientsecret roteren? Het huidige secret werkt onmiddellijk niet meer en kan niet worden hersteld.
admin.machine.secret.rotated,Het clientgeheim is geroteerd.
admin.machine.secret.title,Clientgeheim
admin.machine.secret.tokenTitle,Nieuw persoonlijk toegangstoken
admin.machine.secret.value,Waarde van het geheim
admin.machine.status,Status
admin.machine.updated,Laatst bijgewerkt
admin.machine.users.create,Machinegebruiker aanmaken
admin.machine.users.createDescription,Maak een niet-menselijke identiteit voor een dienst of integratie. Het clientgeheim wordt eenmalig getoond.
admin.machine.users.createSecretHint,Een client-ID en clientgeheim worden meteen uitgegeven. Het geheim wordt eenmalig getoond en kan niet worden hersteld.
admin.machine.users.created,De machinegebruiker is aangemaakt.
admin.machine.users.description,"Niet-menselijke identiteiten die zich in dit realm authenticeren met clientreferenties, tokens of API-sleutels."
admin.machine.users.detailTitle,Machinegebruikersdetails
admin.machine.users.displayName,Weergavenaam
admin.machine.users.empty,Er bestaat nog geen machinegebruiker in dit realm.
admin.machine.users.invalid,Voer een weergavenaam en een gebruikersnaam in en gebruik alleen geldige scopewaarden.
admin.machine.users.lifecycleChanged,De status van de machinegebruiker is gewijzigd.
admin.machine.users.missingId,Er moet een machinegebruiker zijn geselecteerd voor deze bestemming.
admin.machine.users.noScopes,Geen scopes
admin.machine.users.scopes,Scopes
admin.machine.users.scopesHint,Scheid scopes met spaties of komma's. Scopes worden exact vergeleken.
admin.machine.users.search,Machinegebruikers zoeken
admin.machine.users.title,Machinegebruikers
admin.machine.users.userName,Gebruikersnaam
admin.machine.users.userNameHint,Wordt gebruikt als client-ID bij het inwisselen van clientreferenties.
admin.navigation.description,Choose an administration resource
admin.navigation.hide,Hide sidebar
admin.navigation.label,Beheer
admin.navigation.title,Administration navigation
admin.oidc.assuranceRequired,"Het beheren van OpenID Connect-instellingen vereist een sterkere, recentere aanmelding. Meld u opnieuw aan om door te gaan."
admin.oidc.assuranceRequiredTitle,Sterkere aanmelding vereist
admin.oidc.clients.consent,Toestemming
admin.oidc.clients.consentRequired,Vereist
admin.oidc.clients.consentSkipped,Niet vereist
admin.oidc.clients.create,Client registreren
admin.oidc.clients.createDescription,Registreer een toepassing die mensen aanmeldt met OpenID Connect. Een vertrouwelijke client krijgt eenmalig een secret.
admin.oidc.clients.created,De client is geregistreerd.
admin.oidc.clients.description,Toepassingen die mensen via OpenID Connect authenticeren in dit realm.
admin.oidc.clients.detailTitle,OIDC-clientdetails
admin.oidc.clients.empty,Er zijn nog geen OpenID Connect-clients geregistreerd in dit realm.
admin.oidc.clients.exactMatchHint,"Eén URI per regel. Elke omleiding wordt exact vergeleken, dus jokertekens en afwijkende einden worden geweigerd."
admin.oidc.clients.invalid,"Voer een clientnaam, minstens één exacte redirect-URI en minstens één scope in."
admin.oidc.clients.lifecycleChanged,De status van de client is gewijzigd.
admin.oidc.clients.missingId,Er moet een OIDC-client zijn geselecteerd voor deze bestemming.
admin.oidc.clients.name,Clientnaam
admin.oidc.clients.postLogoutUris,Omleidings-URI's na afmelden
admin.oidc.clients.redirectUris,Omleidings-URI's
admin.oidc.clients.removeConfirm,Deze OIDC-client verwijderen? Toepassingen die deze gebruiken werken onmiddellijk niet meer.
admin.oidc.clients.requireConsent,Vraag de persoon om deze toepassing goed te keuren
admin.oidc.clients.saved,De client is opgeslagen.
admin.oidc.clients.scopes,Toegestane scopes
admin.oidc.clients.search,Clients zoeken
admin.oidc.clients.settingsDescription,"Beheer de clientnaam, de exacte omleidings-URI's, de toegestane scopes en hoe toestemming wordt afgehandeld."
admin.oidc.clients.settingsTitle,Clientinstellingen
admin.oidc.clients.title,OpenID Connect-clients
admin.oidc.clients.trusted,Vertrouwd
admin.oidc.clients.trustedHint,Een vertrouwde client slaat het toestemmingsscherm volledig over. Markeer alleen eigen toepassingen als vertrouwd.
admin.oidc.clients.type,Clienttype
admin.oidc.clients.typeConfidential,Vertrouwelijk
admin.oidc.clients.typeHint,"Een vertrouwelijke client bewaart een secret op een server. Een openbare client, zoals een mobiele of single-page-app, kan dat niet."
admin.oidc.clients.typePublic,Openbaar
admin.oidc.confirmTitle,Deze wijziging bevestigen
admin.oidc.consents.client,Toepassing
admin.oidc.consents.description,Toepassingen die een persoon heeft goedgekeurd. Bij het intrekken van een toestemming wordt opnieuw om goedkeuring gevraagd.
admin.oidc.consents.empty,Deze persoon heeft nog geen enkele toepassing goedgekeurd.
admin.oidc.consents.granted,Goedgekeurd
admin.oidc.consents.revokeConfirm,Deze toestemming intrekken? De persoon wordt opnieuw gevraagd de toepassing goed te keuren.
admin.oidc.consents.revoked,De toestemming is ingetrokken.
admin.oidc.consents.title,Toepassingstoestemmingen
admin.oidc.consents.user,Persoon
admin.oidc.created,Aangemaakt
admin.oidc.crossTenant,Deze bron hoort bij een ander realm en is hier niet beschikbaar.
admin.oidc.documents.authorizationEndpoint,Autorisatie-eindpunt
admin.oidc.documents.copied,Gekopieerd
admin.oidc.documents.copy,Document kopiëren
admin.oidc.documents.description,"De protocoldocumenten die Authworks voor dit realm publiceert, precies zoals een clientbibliotheek ze leest."
admin.oidc.documents.discoveryDescription,De OpenID Provider-metagegevens die vanaf het well-known-eindpunt worden geleverd.
admin.oidc.documents.discoveryTitle,Discovery-document
admin.oidc.documents.empty,Er zijn nog geen protocoldocumenten gepubliceerd voor dit realm.
admin.oidc.documents.endSessionEndpoint,Eindpunt voor sessiebeëindiging
admin.oidc.documents.issuer,Uitgever
admin.oidc.documents.jwksDescription,De openbare sleutels die tokens verifiëren die door dit realm zijn uitgegeven.
admin.oidc.documents.jwksTitle,JSON Web Key Set
admin.oidc.documents.jwksUri,JWKS-URI
admin.oidc.documents.open,Eindpunt openen
admin.oidc.documents.readOnly,Deze documenten worden gegenereerd uit de realmconfiguratie en de ondertekeningssleutels. Ze kunnen hier niet worden bewerkt.
admin.oidc.documents.showRaw,Het ruwe document tonen
admin.oidc.documents.title,Protocoldocumenten
admin.oidc.documents.tokenEndpoint,Token-eindpunt
admin.oidc.documents.userinfoEndpoint,Userinfo-eindpunt
admin.oidc.keys.algorithm,Algoritme
admin.oidc.keys.create,Sleutel toevoegen
admin.oidc.keys.created,Er is een nieuwe ondertekeningssleutel gepubliceerd.
admin.oidc.keys.description,De sleutels die tokens voor dit realm ondertekenen. Bij rotatie wordt een nieuwe sleutel gepubliceerd en de huidige buiten gebruik gesteld.
admin.oidc.keys.empty,Er bestaan nog geen ondertekeningssleutels voor dit realm.
admin.oidc.keys.keyId,Sleutel-ID
admin.oidc.keys.privateNotice,Alleen metagegevens van de openbare sleutel worden getoond. Privésleutelmateriaal wordt nooit naar de browser gestuurd.
admin.oidc.keys.retire,Buiten gebruik stellen
admin.oidc.keys.retireConfirm,Deze ondertekeningssleutel terugtrekken? Tokens die ermee zijn ondertekend kunnen niet meer worden geverifieerd zodra deze het JWKS verlaat.
admin.oidc.keys.retired,De ondertekeningssleutel is buiten gebruik gesteld.
admin.oidc.keys.retiredAt,Buiten gebruik gesteld
admin.oidc.keys.rotate,Sleutel roteren
admin.oidc.keys.rotateConfirm,De ondertekeningssleutel roteren? Er wordt een nieuwe sleutel gepubliceerd en de huidige sleutel wordt teruggetrokken.
admin.oidc.keys.rotated,De ondertekeningssleutel is geroteerd.
admin.oidc.keys.title,Ondertekeningssleutels
admin.oidc.lifecycle.activate,Activeren
admin.oidc.lifecycle.deactivate,Deactiveren
admin.oidc.lifecycle.remove,Client verwijderen
admin.oidc.pageNext,Volgende pagina
admin.oidc.pagePrevious,Vorige pagina
admin.oidc.permissionDenied,U hebt geen toestemming om de OpenID Connect-instellingen in dit realm te bekijken of te wijzigen.
admin.oidc.permissionDeniedTitle,Toegang niet beschikbaar
admin.oidc.secret.acknowledge,Ik heb het secret opgeslagen
admin.oidc.secret.copied,Naar het klembord gekopieerd
admin.oidc.secret.copy,Secret kopiëren
admin.oidc.secret.copyFailed,Het klembord is niet beschikbaar. Selecteer en kopieer de waarde handmatig.
admin.oidc.secret.createdTitle,Nieuw clientsecret
admin.oidc.secret.description,"Het opgeslagen clientsecret wordt nooit meer getoond. Roteer het om een nieuw secret uit te geven, of trek het in zodat de client zich niet meer kan authenticeren."
admin.oidc.secret.once,Dit is de enige keer dat het secret voor {client} wordt getoond. Sla het nu op; het kan niet worden hersteld.
admin.oidc.secret.publicClient,"Een openbare client authenticeert zich zonder secret, dus er valt niets te roteren."
admin.oidc.secret.redacted,Opgeslagen en verborgen
admin.oidc.secret.revoke,Secret intrekken
admin.oidc.secret.revokeConfirm,Dit clientsecret intrekken? De client kan zich niet meer authenticeren totdat er een nieuw is uitgegeven.
admin.oidc.secret.revoked,Het clientsecret is ingetrokken.
admin.oidc.secret.rotate,Secret roteren
admin.oidc.secret.rotateConfirm,Dit clientsecret roteren? Het huidige secret werkt onmiddellijk niet meer.
admin.oidc.secret.rotated,Het clientsecret is geroteerd.
admin.oidc.secret.rotatedTitle,Geroteerd clientsecret
admin.oidc.secret.title,Clientsecret
admin.oidc.status,Status
admin.oidc.updated,Laatst bijgewerkt
admin.organizations.assuranceRequired,Log opnieuw in met een sterkere authenticatiemethode om deze organisatie-instelling te wijzigen.
admin.organizations.assuranceRequiredTitle,Sterkere aanmelding vereist
admin.organizations.branding.background,Achtergrondkleur
admin.organizations.branding.dark,Donker thema
admin.organizations.branding.description,"Kleuren, logo's en juridische links die op de gehoste inlog- en accountschermen worden getoond."
admin.organizations.branding.font,Tekstkleur
admin.organizations.branding.iconUrl,Icoon-URL
admin.organizations.branding.light,Licht thema
admin.organizations.branding.logoUrl,Logo-URL
admin.organizations.branding.preview,Voorbeeld
admin.organizations.branding.primary,Primaire kleur
admin.organizations.branding.privacyUrl,URL van het privacybeleid
admin.organizations.branding.saved,De huisstijl is opgeslagen.
admin.organizations.branding.termsUrl,URL van de servicevoorwaarden
admin.organizations.branding.themeMode,Standaardthema
admin.organizations.branding.title,Huisstijl
admin.organizations.branding.warn,Waarschuwingskleur
admin.organizations.branding.watermark,Het Authworks-watermerk verbergen
admin.organizations.detail.created,Aangemaakt
admin.organizations.detail.realm,Realm
admin.organizations.detail.settingsDescription,Beheer de organisatienaam en de levenscyclusstatus.
admin.organizations.detail.settingsTitle,Organisatie-instellingen
admin.organizations.detail.updated,Laatst bijgewerkt
admin.organizations.detailTitle,Organisatiedetails
admin.organizations.domains.claim,Domein claimen
admin.organizations.domains.claimed,{domain} is geclaimd en wacht op verificatie.
admin.organizations.domains.description,Geverifieerde domeinen laten mensen deze organisatie vinden via hun e-mailadres.
admin.organizations.domains.discovery,Herkenningsvoorbeeld
admin.organizations.domains.discoveryDescription,Controleer naar welke organisatie een domein tijdens het inloggen momenteel wordt herleid.
admin.organizations.domains.discoveryFound,{domain} wordt herleid naar {organization}.
admin.organizations.domains.discoveryMissing,{domain} wordt niet herleid naar een organisatie.
admin.organizations.domains.domain,Domein
admin.organizations.domains.empty,Deze organisatie heeft nog geen domein geclaimd.
admin.organizations.domains.invalid,Voer een geldige domeinnaam in.
admin.organizations.domains.placeholder,example.com
admin.organizations.domains.primary,Primair domein
admin.organizations.domains.remove,Domein verwijderen
admin.organizations.domains.removeConfirm,Het domein {domain} verwijderen? De organisatieontdekking ervoor stopt onmiddellijk.
admin.organizations.domains.removed,Het domein is verwijderd.
admin.organizations.domains.title,Domeinen en herkenning
admin.organizations.domains.unverified,In afwachting van verificatie
admin.organizations.domains.verificationRecord,Voeg dit DNS-TXT-record toe en verifieer daarna.
admin.organizations.domains.verified,Verified
admin.organizations.domains.verify,Domein verifiëren
admin.organizations.domains.verifyDone,Het domein is geverifieerd.
admin.organizations.invitations.create,Persoon uitnodigen
admin.organizations.invitations.description,Nodig mensen uit per e-mail en volg welke uitnodigingen nog openstaan.
admin.organizations.invitations.email,Email address
admin.organizations.invitations.emailInvalid,Voer een geldig e-mailadres in.
admin.organizations.invitations.empty,Er zijn geen uitnodigingen verstuurd voor deze organisatie.
admin.organizations.invitations.expires,Verloopt
admin.organizations.invitations.revoke,Uitnodiging intrekken
admin.organizations.invitations.revokeConfirm,De uitnodiging voor {email} intrekken? De uitnodigingslink werkt onmiddellijk niet meer.
admin.organizations.invitations.revoked,De uitnodiging is ingetrokken.
admin.organizations.invitations.rolesInvalid,Kies tussen één en vier rollen.
admin.organizations.invitations.sent,De uitnodiging is aangemaakt.
admin.organizations.invitations.statusValue.accepted,Geaccepteerd
admin.organizations.invitations.statusValue.declined,Geweigerd
admin.organizations.invitations.statusValue.expired,Verlopen
admin.organizations.invitations.statusValue.pending,In behandeling
admin.organizations.invitations.statusValue.revoked,Ingetrokken
admin.organizations.invitations.title,Uitnodigingen
admin.organizations.invitations.tokenDismiss,Ik heb deze link opgeslagen
admin.organizations.invitations.tokenOnce,Deze uitnodigingslink wordt één keer getoond. Deel hem met de persoon die u hebt uitgenodigd.
admin.organizations.invitations.tokenTitle,Uitnodigingslink
admin.organizations.lifecycle.activate,Organisatie heractiveren
admin.organizations.lifecycle.activateConfirm,Deze organisatie opnieuw activeren? Leden hebben geen toegang zolang deze niet actief is.
admin.organizations.lifecycle.changed,De levenscyclusstatus van de organisatie is gewijzigd.
admin.organizations.lifecycle.deactivate,Organisatie deactiveren
admin.organizations.lifecycle.deactivateConfirm,Deze organisatie deactiveren? Leden hebben geen toegang zolang deze niet actief is.
admin.organizations.lifecycle.remove,Organisatie verwijderen
admin.organizations.lifecycle.removeConfirm,Deze organisatie verwijderen? Leden hebben geen toegang zolang deze niet actief is.
admin.organizations.list.create,Organisatie aanmaken
admin.organizations.list.description,"Organisaties groeperen de mensen, domeinen en huisstijl van dit realm."
admin.organizations.list.empty,Er bestaan nog geen organisaties in dit realm.
admin.organizations.list.name,Organisatienaam
admin.organizations.list.nameRequired,Voer een organisatienaam in.
admin.organizations.list.search,Organisaties zoeken
admin.organizations.list.title,Organisaties
admin.organizations.memberships.add,Lid toevoegen
admin.organizations.memberships.added,Het lid is toegevoegd.
admin.organizations.memberships.description,De mensen in deze organisatie en de vaste rollen die aan hen zijn toegewezen.
admin.organizations.memberships.empty,Deze organisatie heeft nog geen leden.
admin.organizations.memberships.invalid,Voer een gebruikers-ID in en kies tussen één en vier rollen.
admin.organizations.memberships.remove,Lid verwijderen
admin.organizations.memberships.removeConfirm,{userId} uit deze organisatie verwijderen? Toegang tot de organisatie eindigt onmiddellijk.
admin.organizations.memberships.removed,Het lid is verwijderd.
admin.organizations.memberships.roles,Rollen
admin.organizations.memberships.rolesFixed,Rollen worden door Authworks vastgesteld en kunnen niet worden hernoemd.
admin.organizations.memberships.title,Leden en rollen
admin.organizations.memberships.updated,De rollen van het lid zijn bijgewerkt.
admin.organizations.memberships.user,Gebruiker
admin.organizations.memberships.userId,Gebruikers-ID
admin.organizations.pageNext,Volgende pagina
admin.organizations.pagePrevious,Vorige pagina
admin.organizations.permissionDenied,U hebt geen toestemming om deze organisatie te bekijken of te wijzigen.
admin.organizations.permissionDeniedTitle,Toegang niet beschikbaar
admin.organizations.policy.description,Kies welke inlogmethoden mensen mogen gebruiken en welke geconfigureerde providers verschijnen.
