key,ar
account.recovery.generate,إنشاء رموز جديدة
account.recovery.once,انسخ أو اطبع هذه الرموز الآن. لا يمكن عرضها مرة أخرى.
account.recovery.remaining,تبقى {count} من الرموز غير المستخدمة. يؤدي إنشاء رموز جديدة إلى إبطال المجموعة السابقة.
account.recovery.saveNow,احفظ رموز الاسترداد الخاصة بك الآن
account.recovery.saved,لقد حفظت هذه الرموز
account.recovery.summary,الوصول للاسترداد
account.refreshTokens.active,نشط
account.refreshTokens.description,"راجع التطبيقات التي تستخدم رموز التحديث لهذا الحساب. لا تظهر سوى البيانات الوصفية الآمنة؛ ويؤدي إلغاء العائلة إلى إبطال رموز الوصول الخاصة بها أيضًا."
account.refreshTokens.empty,لا تتوفر عائلات لرموز التحديث
account.refreshTokens.expired,منتهي الصلاحية
account.refreshTokens.expires,تنتهي الصلاحية {date}
account.refreshTokens.lastUsed,آخر استخدام {date}
account.refreshTokens.neverUsed,لم يُستخدم من قبل
account.refreshTokens.revoke,إلغاء العائلة
account.refreshTokens.revokeAll,إلغاء جميع العائلات
account.refreshTokens.revokeAllConfirm,هل تريد إلغاء جميع عائلات رموز التحديث لهذا الحساب؟
account.refreshTokens.revokeConfirm,هل تريد إلغاء عائلة رمز التحديث هذه ورموز الوصول الخاصة بها؟
account.refreshTokens.revoked,ملغى
account.refreshTokens.revokedAt,أُلغي في {date}
account.refreshTokens.scope,النطاقات: {scope}
account.refreshTokens.title,عائلات رموز التحديث
account.security.label,إدارة أمان الحساب
account.securityHistory.category.emailChanges,Email changes
account.securityHistory.category.impersonation,Impersonation
account.securityHistory.category.linkedIdentities,Linked identities
account.securityHistory.category.mfa,Multi-factor authentication
account.securityHistory.category.passkeys,Passkeys
account.securityHistory.category.passwords,Passwords
account.securityHistory.category.refreshTokens,Refresh tokens
account.securityHistory.category.sessions,Sessions
account.securityHistory.description,Review recent safe security activity. Sensitive details and identifiers are never shown.
account.securityHistory.empty,No security activity is available
account.securityHistory.event.accessTokenRevoked,An access token was revoked
account.securityHistory.event.emailChangeFailed,An email address change failed
account.securityHistory.event.emailChangeRequested,An email address change was requested
account.securityHistory.event.emailChangeVerified,A new email address was verified
account.securityHistory.event.emailChanged,The account email address changed
account.securityHistory.event.identityLinked,An external identity was linked
account.securityHistory.event.identityUnlinked,An external identity was unlinked
account.securityHistory.event.impersonationEnded,An impersonation session ended
account.securityHistory.event.impersonationStarted,An impersonation session started
account.securityHistory.event.mfaCompleted,A multi-factor challenge was completed
account.securityHistory.event.mfaFailed,A multi-factor challenge failed
account.securityHistory.event.mfaStarted,A multi-factor challenge started
account.securityHistory.event.passkeyAuthenticationCompleted,A passkey authentication completed
account.securityHistory.event.passkeyAuthenticationStarted,A passkey authentication started
account.securityHistory.event.passkeyCredentialRevoked,A passkey was revoked
account.securityHistory.event.passkeyCredentialUsed,A passkey was used
account.securityHistory.event.passkeyRegistrationCompleted,A passkey registration completed
account.securityHistory.event.passkeyRegistrationStarted,A passkey registration started
account.securityHistory.event.passwordChanged,The password changed
account.securityHistory.event.passwordEmailVerified,The password email address was verified
account.securityHistory.event.passwordLocked,The password account was locked
account.securityHistory.event.passwordLoginFailed,A password sign-in failed
account.securityHistory.event.passwordLoginSucceeded,A password sign-in succeeded
account.securityHistory.event.passwordRecovered,The password was recovered
account.securityHistory.event.passwordRecoveryRequested,Password recovery was requested
account.securityHistory.event.passwordUnlocked,The password account was unlocked
account.securityHistory.event.passwordWhatsappVerified,The WhatsApp sign-in number was verified
account.securityHistory.event.recoveryCodeUsed,A recovery code was used
account.securityHistory.event.recoveryCodesGenerated,Recovery codes were generated
account.securityHistory.event.refreshTokenFamilyRevoked,A refresh-token family was revoked
account.securityHistory.event.sessionCreated,A session was created
account.securityHistory.event.sessionRevoked,A session was revoked
account.securityHistory.event.sessionRotated,A session was renewed
account.securityHistory.event.sessionsRevoked,All sessions were revoked
account.securityHistory.event.totpEnrollmentConfirmed,An authenticator was confirmed
account.securityHistory.event.totpEnrollmentStarted,Authenticator setup started
account.securityHistory.event.totpRemoved,An authenticator was removed
account.securityHistory.event.totpVerified,An authenticator challenge succeeded
account.securityHistory.loadMore,Load more security activity
account.sessionExpired,انتهت صلاحية جلستك
account.sessions.current,الجلسة الحالية
account.sessions.description,راجع الأجهزة التي تم تسجيل الدخول إلى حسابك منها، وقم بإلغاء أي جلسة لا تتعرف عليها.
account.sessions.empty,لا توجد جلسات نشطة
account.sessions.lastUsed,آخر استخدام في {date}
account.sessions.revoke,إلغاء الجلسة
account.sessions.revokeConfirm,هل تريد إلغاء هذه الجلسة فورًا؟
account.sessions.unknownDevice,جهاز غير معروف
account.status.available,متاح
account.status.configured,تمت التهيئة
account.status.notConfigured,غير مهيأ
account.status.unavailable,غير متاح
admin.common.confirmTitle,تأكيد هذا الإجراء
admin.common.next,التالي
admin.common.pagination,ترقيم الصفحات
admin.common.permission,ليس لديك إذن لعرض بيانات الإدارة هذه.
admin.common.previous,السابق
admin.events.actor,الفاعل
admin.events.aggregate,التجميع
admin.events.count,{count} حدثاً
admin.events.description,نشاط أمني غير قابل للتغيير للنطاق الحالي، الأحدث أولاً.
admin.events.empty,لا توجد أحداث تطابق عامل التصفية الحالي.
admin.events.hide,إخفاء الحمولة
admin.events.occurred,وقع في
admin.events.payload,الحمولة
admin.events.redactionNotice,تُخفى القيم السرية قبل تخزين الحدث.
admin.events.search,البحث في الأحداث
admin.events.searchPlaceholder,تصفية حسب النوع أو التجميع أو الفاعل
admin.events.show,إظهار الحمولة
admin.events.systemActor,النظام
admin.events.title,أحداث التدقيق
admin.events.type,نوع الحدث
admin.impersonation.activeTitle,Active impersonation
admin.impersonation.actor,Administrator
admin.impersonation.assuranceRequired,Impersonating a user requires multi-factor authentication. Sign in again with a second factor to continue.
admin.impersonation.assuranceRequiredTitle,Stronger sign-in required
admin.impersonation.auditLink,View the audit events for this impersonation
admin.impersonation.bannerLabel,Impersonation in progress
admin.impersonation.bannerSummary,{actor} is acting as {subject}. This session ends in {remaining}.
admin.impersonation.description,"Act as another person for a short, recorded support session. A reason and a bounded duration are always required."
admin.impersonation.duration,Duration
admin.impersonation.durationHint,"Impersonation always ends automatically, after at most fifteen minutes."
admin.impersonation.durationInvalid,Choose a duration between one second and fifteen minutes.
admin.impersonation.durationMinutes,{count} minutes
admin.impersonation.end,إنهاء انتحال الهوية
admin.impersonation.endConfirm,هل تريد إنهاء انتحال هوية {subject} الآن؟
admin.impersonation.endedNotice,تم إنهاء جلسة انتحال الهوية.
admin.impersonation.expires,Ends
admin.impersonation.expiringSoon,This impersonation ends in under a minute.
admin.impersonation.nestedRejected,You are already acting as another user. End the current impersonation before starting a new one.
admin.impersonation.nestedRejectedTitle,Nested impersonation is not allowed
admin.impersonation.noOrganization,No organization
admin.impersonation.organization,Organization
admin.impersonation.organizationHint,Optional. Restrict the session to the permissions the person holds in one organization.
admin.impersonation.permissionDenied,You do not have permission to impersonate users in this realm.
admin.impersonation.permissionDeniedTitle,الوصول غير متاح
admin.impersonation.reason,Reason
admin.impersonation.reasonHint,Recorded in the audit trail and shown to the person you act as.
admin.impersonation.reasonRequired,Enter a reason between 3 and 256 characters.
admin.impersonation.remaining,Remaining
admin.impersonation.remainingValue,{minutes}:{seconds}
admin.impersonation.selfRejected,You cannot impersonate your own account.
admin.impersonation.start,Start impersonation
admin.impersonation.startConfirm,Start acting as {subject}? Everything you do will be recorded against your own identity.
admin.impersonation.startedAt,Started
admin.impersonation.startedNotice,You are now acting as {subject}.
admin.impersonation.subject,Acting as
admin.impersonation.target,User to impersonate
admin.impersonation.targetRequired,Choose the user you want to act as.
admin.impersonation.title,Impersonation
admin.impersonation.userAction,Impersonate this user
admin.machine.assuranceRequired,تتطلب إدارة مستخدمي الأجهزة وبيانات اعتمادهم تسجيل دخول أقوى وأحدث. سجّل الدخول مرة أخرى للمتابعة.
admin.machine.assuranceRequiredTitle,مطلوب تسجيل دخول أقوى
admin.machine.created,تاريخ الإنشاء
admin.machine.credentials.apiKeyCreated,تم إصدار مفتاح واجهة البرمجة.
admin.machine.credentials.description,بيانات اعتماد يقدّمها مستخدم الجهاز للحصول على رمز وصول. لا يُخزَّن سوى بياناتها الوصفية، ولا تُخزَّن القيمة أبدًا.
admin.machine.credentials.empty,لا توجد بعد بيانات اعتماد لمستخدم الجهاز هذا.
admin.machine.credentials.expires,تنتهي الصلاحية
admin.machine.credentials.expiresHint,اترك هذا الحقل فارغًا لإصدار بيانات اعتماد لا تنتهي صلاحيتها.
admin.machine.credentials.expiryInvalid,أدخل تاريخ انتهاء صلاحية صالحاً، أو اترك الحقل فارغاً لبيانات اعتماد لا تنتهي صلاحيتها.
admin.machine.credentials.expiryPast,اختر تاريخ انتهاء صلاحية في المستقبل.
admin.machine.credentials.issue,إصدار بيانات اعتماد
admin.machine.credentials.issueDescription,أصدر رمز وصول شخصيًا أو مفتاح واجهة برمجة. تظهر القيمة مرة واحدة فقط ولا يمكن استرجاعها.
admin.machine.credentials.kind,نوع بيانات الاعتماد
admin.machine.credentials.kindAccessToken,رمز الوصول
admin.machine.credentials.kindApiKey,مفتاح واجهة البرمجة
admin.machine.credentials.kindClientSecret,سر العميل
admin.machine.credentials.kindHint,يتصرف رمز الوصول الشخصي نيابةً عن مستخدم الجهاز مباشرةً. أما مفتاح واجهة البرمجة فمخصّص لتكامل واحد.
admin.machine.credentials.kindToken,رمز وصول شخصي
admin.machine.credentials.name,الاسم
admin.machine.credentials.nameRequired,أدخل اسماً حتى يمكن التعرف على بيانات الاعتماد هذه لاحقاً.
admin.machine.credentials.neverExpires,لا تنتهي صلاحيته
admin.machine.credentials.onceWarning,تظهر القيمة الصادرة مرة واحدة فقط. احفظها قبل إغلاق هذه النافذة؛ لا يمكن استرجاعها مرة أخرى.
admin.machine.credentials.revoke,إبطال
admin.machine.credentials.revokeConfirm,هل تريد إبطال بيانات الاعتماد هذه؟ سيتوقف كل ما يستخدمها عن العمل فوراً.
admin.machine.credentials.revoked,تم إبطال بيانات الاعتماد.
admin.machine.credentials.scopes,النطاقات
admin.machine.credentials.scopesHint,افصل بين النطاقات بمسافات أو فواصل. اتركه فارغًا لوراثة نطاقات مستخدم الجهاز.
admin.machine.credentials.stateActive,نشطة
admin.machine.credentials.stateExpired,منتهية الصلاحية
admin.machine.credentials.stateRevoked,مُبطَلة
admin.machine.credentials.subject,مستخدم الجهاز
admin.machine.credentials.title,بيانات الاعتماد والرموز
admin.machine.credentials.tokenCreated,تم إصدار رمز الوصول الشخصي.
admin.machine.credentials.unnamed,بيانات اعتماد بلا اسم
admin.machine.crossTenant,ينتمي مستخدم الجهاز هذا إلى نطاق آخر وهو غير متاح هنا.
admin.machine.lifecycle.activate,تفعيل
admin.machine.lifecycle.deactivate,تعطيل
admin.machine.lifecycle.description,يمنع التعطيل جميع بيانات الاعتماد من المصادقة. الإزالة دائمة ولا يمكن التراجع عنها.
admin.machine.lifecycle.remove,إزالة مستخدم الجهاز
admin.machine.lifecycle.removeConfirm,هل تريد إزالة هذا المستخدم الآلي؟ ستتوقف جميع بيانات اعتماده عن العمل فوراً ولا يمكن استعادتها.
admin.machine.lifecycle.title,دورة الحياة
admin.machine.pageNext,الصفحة التالية
admin.machine.pagePrevious,الصفحة السابقة
admin.machine.permissionDenied,ليس لديك إذن لعرض مستخدمي الأجهزة في هذا النطاق أو تغييرهم.
admin.machine.permissionDeniedTitle,الوصول غير متاح
admin.machine.secret.acknowledge,لقد حفظت السر
admin.machine.secret.apiKeyTitle,مفتاح واجهة برمجة جديد
admin.machine.secret.clientId,معرّف العميل
admin.machine.secret.clientTitle,سر عميل جديد
admin.machine.secret.copied,تم النسخ إلى الحافظة
admin.machine.secret.copy,نسخ السر
admin.machine.secret.copyFailed,الحافظة غير متاحة. حدّد القيمة وانسخها يدويًا.
admin.machine.secret.description,يتيح سر العميل لمستخدم الجهاز هذا استبدال بيانات اعتماد العميل برمز وصول. يُخزَّن للكتابة فقط ولا يمكن إلا تدويره.
admin.machine.secret.once,هذه هي المرة الوحيدة التي تظهر فيها قيمة {name}. احفظها الآن؛ لا يمكن استرجاعها.
admin.machine.secret.redacted,مخزَّن ومخفي
admin.machine.secret.rotate,تدوير سر العميل
admin.machine.secret.rotateConfirm,هل تريد تدوير سر العميل هذا؟ سيتوقف السر الحالي عن العمل فوراً ولا يمكن استرجاعه.
admin.machine.secret.rotated,تم تدوير سر العميل.
admin.machine.secret.title,سر العميل
admin.machine.secret.tokenTitle,رمز وصول شخصي جديد
admin.machine.secret.value,قيمة السر
admin.machine.status,الحالة
admin.machine.updated,آخر تحديث
admin.machine.users.create,إنشاء مستخدم جهاز
admin.machine.users.createDescription,أنشئ هوية غير بشرية لخدمة أو تكامل. يظهر سر العميل الخاص بها مرة واحدة فقط.
admin.machine.users.createSecretHint,يُصدَر معرّف عميل وسر عميل على الفور. يظهر السر مرة واحدة فقط ولا يمكن استرجاعه.
admin.machine.users.created,تم إنشاء مستخدم الجهاز.
admin.machine.users.description,هويات غير بشرية تُصادق في هذا النطاق باستخدام بيانات اعتماد العميل أو الرموز أو مفاتيح واجهة البرمجة.
admin.machine.users.detailTitle,تفاصيل مستخدم الآلة
admin.machine.users.displayName,الاسم المعروض
admin.machine.users.empty,لا يوجد بعد أي مستخدم جهاز في هذا النطاق.
admin.machine.users.invalid,أدخل اسم عرض واسم مستخدم، واستخدم قيم نطاقات صالحة فقط.
admin.machine.users.lifecycleChanged,تم تغيير حالة مستخدم الجهاز.
admin.machine.users.missingId,يجب اختيار مستخدم آلي لهذه الوجهة.
admin.machine.users.noScopes,لا توجد نطاقات
admin.machine.users.scopes,النطاقات
admin.machine.users.scopesHint,افصل بين النطاقات بمسافات أو فواصل. تُطابَق النطاقات مطابقةً تامة.
admin.machine.users.search,البحث عن مستخدمي الأجهزة
admin.machine.users.title,مستخدمو الأجهزة
admin.machine.users.userName,اسم المستخدم
admin.machine.users.userNameHint,يُستخدم كمعرّف عميل عند استبدال بيانات اعتماد العميل.
admin.navigation.description,اختر مورداً إدارياً
admin.navigation.hide,إخفاء الشريط الجانبي
admin.navigation.label,الإدارة
admin.navigation.title,التنقل في الإدارة
admin.oidc.assuranceRequired,تتطلب إدارة إعدادات OpenID Connect تسجيل دخول أقوى وأحدث. سجّل الدخول مرة أخرى للمتابعة.
admin.oidc.assuranceRequiredTitle,مطلوب تسجيل دخول أقوى
admin.oidc.clients.consent,الموافقة
admin.oidc.clients.consentRequired,مطلوبة
admin.oidc.clients.consentSkipped,غير مطلوبة
admin.oidc.clients.create,تسجيل عميل
admin.oidc.clients.createDescription,سجّل تطبيقًا يسجّل دخول الأشخاص عبر OpenID Connect. يحصل العميل السري على سر لمرة واحدة فقط.
admin.oidc.clients.created,تم تسجيل العميل.
admin.oidc.clients.description,التطبيقات التي تصادق الأشخاص عبر OpenID Connect في هذا النطاق.
admin.oidc.clients.detailTitle,تفاصيل عميل OIDC
admin.oidc.clients.empty,لا يوجد بعد أي عميل OpenID Connect مسجّل في هذا النطاق.
admin.oidc.clients.exactMatchHint,معرّف URI واحد في كل سطر. تتم مطابقة كل إعادة توجيه بشكل تام، لذا تُرفض أحرف البدل والاختلافات في النهاية.
admin.oidc.clients.identifier,معرّف العميل
admin.oidc.clients.invalid,أدخل اسم عميل، ومعرّف URI واحداً على الأقل لإعادة التوجيه المطابق تماماً، ونطاقاً واحداً على الأقل.
admin.oidc.clients.lifecycleChanged,تم تغيير حالة العميل.
admin.oidc.clients.missingId,يجب اختيار عميل OIDC لهذه الوجهة.
admin.oidc.clients.name,اسم العميل
admin.oidc.clients.postLogoutUris,معرّفات URI لإعادة التوجيه بعد تسجيل الخروج
admin.oidc.clients.redirectUris,معرّفات URI لإعادة التوجيه
admin.oidc.clients.removeConfirm,هل تريد إزالة عميل OIDC هذا؟ ستتوقف التطبيقات التي تستخدمه عن العمل فوراً.
admin.oidc.clients.requireConsent,اطلب من الشخص الموافقة على هذا التطبيق
admin.oidc.clients.saved,تم حفظ العميل.
admin.oidc.clients.scopes,النطاقات المسموح بها
admin.oidc.clients.search,البحث عن العملاء
admin.oidc.clients.settingsDescription,تحكّم في اسم العميل ومعرّفات URI الدقيقة لإعادة التوجيه والنطاقات المسموح بها وطريقة التعامل مع الموافقة.
admin.oidc.clients.settingsTitle,إعدادات العميل
admin.oidc.clients.statusValue.active,نشط
admin.oidc.clients.statusValue.inactive,غير نشط
admin.oidc.clients.statusValue.removed,مُزالة
admin.oidc.clients.title,عملاء OpenID Connect
admin.oidc.clients.trusted,موثوق
admin.oidc.clients.trustedHint,يتخطى العميل الموثوق شاشة الموافقة بالكامل. ضع علامة موثوق على تطبيقاتك الخاصة فقط.
admin.oidc.clients.type,نوع العميل
admin.oidc.clients.typeConfidential,سري
admin.oidc.clients.typeHint,يحتفظ العميل السري بسر على خادم. أما العميل العام، مثل تطبيق الجوال أو تطبيق الصفحة الواحدة، فلا يستطيع ذلك.
admin.oidc.clients.typePublic,عام
admin.oidc.confirmTitle,تأكيد هذا التغيير
admin.oidc.consents.client,التطبيق
admin.oidc.consents.description,التطبيقات التي وافق عليها الشخص. يؤدي إلغاء الموافقة إلى مطالبته بالموافقة على التطبيق مرة أخرى.
admin.oidc.consents.empty,لم يوافق هذا الشخص على أي تطبيق بعد.
admin.oidc.consents.granted,تمت الموافقة
admin.oidc.consents.revokeConfirm,هل تريد إبطال هذه الموافقة؟ سيُطلب من الشخص الموافقة على التطبيق مرة أخرى.
admin.oidc.consents.revoked,تم إلغاء الموافقة.
admin.oidc.consents.title,موافقات التطبيقات
admin.oidc.consents.user,الشخص
admin.oidc.created,تاريخ الإنشاء
admin.oidc.crossTenant,ينتمي هذا المورد إلى نطاق آخر وغير متاح هنا.
admin.oidc.documents.authorizationEndpoint,نقطة نهاية التفويض
admin.oidc.documents.copied,تم النسخ
admin.oidc.documents.copy,نسخ المستند
admin.oidc.documents.description,مستندات البروتوكول التي ينشرها Authworks لهذا النطاق، تمامًا كما تقرأها مكتبة العميل.
admin.oidc.documents.discoveryDescription,بيانات تعريف موفّر OpenID المقدَّمة من نقطة نهاية well-known.
admin.oidc.documents.discoveryTitle,مستند الاكتشاف
admin.oidc.documents.empty,لم تُنشر بعد أي مستندات بروتوكول لهذا النطاق.
admin.oidc.documents.endSessionEndpoint,نقطة نهاية إنهاء الجلسة
admin.oidc.documents.issuer,المُصدِر
admin.oidc.documents.jwksDescription,المفاتيح العامة التي تتحقق من الرموز الصادرة عن هذا النطاق.
admin.oidc.documents.jwksTitle,مجموعة مفاتيح الويب JSON
admin.oidc.documents.jwksUri,معرّف URI لـ JWKS
admin.oidc.documents.open,فتح نقطة النهاية
admin.oidc.documents.readOnly,تُنشأ هذه المستندات من إعدادات النطاق ومفاتيح التوقيع. ولا يمكن تحريرها هنا.
admin.oidc.documents.showRaw,عرض المستند الخام
admin.oidc.documents.title,مستندات البروتوكول
admin.oidc.documents.tokenEndpoint,نقطة نهاية الرمز
admin.oidc.documents.userinfoEndpoint,نقطة نهاية userinfo
admin.oidc.keys.algorithm,الخوارزمية
