key,uk
account.securityHistory.event.passwordLoginFailed,A password sign-in failed
account.securityHistory.event.passwordLoginSucceeded,A password sign-in succeeded
account.securityHistory.event.passwordRecovered,The password was recovered
account.securityHistory.event.passwordRecoveryRequested,Password recovery was requested
account.securityHistory.event.passwordUnlocked,The password account was unlocked
account.securityHistory.event.passwordWhatsappVerified,The WhatsApp sign-in number was verified
account.securityHistory.event.recoveryCodeUsed,A recovery code was used
account.securityHistory.event.recoveryCodesGenerated,Recovery codes were generated
account.securityHistory.event.refreshTokenFamilyRevoked,A refresh-token family was revoked
account.securityHistory.event.sessionCreated,A session was created
account.securityHistory.event.sessionRevoked,A session was revoked
account.securityHistory.event.sessionRotated,A session was renewed
account.securityHistory.event.sessionsRevoked,All sessions were revoked
account.securityHistory.event.totpEnrollmentConfirmed,An authenticator was confirmed
account.securityHistory.event.totpEnrollmentStarted,Authenticator setup started
account.securityHistory.event.totpRemoved,An authenticator was removed
account.securityHistory.event.totpVerified,An authenticator challenge succeeded
account.securityHistory.loadMore,Load more security activity
account.sessionExpired,Your session has expired
account.sessions.current,Current session
account.sessions.description,Review devices where your account is signed in and revoke any session you do not recognize.
account.sessions.empty,No active sessions
account.sessions.lastUsed,Last used {date}
account.sessions.revoke,Revoke session
account.sessions.revokeConfirm,Revoke this session immediately?
account.sessions.unknownDevice,Unknown device
account.status.available,Available
account.status.configured,Configured
account.status.notConfigured,Not configured
account.status.unavailable,Unavailable
admin.common.confirmTitle,Підтвердьте цю дію
admin.common.next,Далі
admin.common.pagination,Посторінкова навігація
admin.common.permission,Ви не маєте дозволу переглядати ці адміністративні дані.
admin.common.previous,Назад
admin.events.actor,Суб'єкт
admin.events.aggregate,Агрегат
admin.events.count,Подій: {count}
admin.events.description,"Незмінна активність безпеки поточного realm, починаючи з найновішої."
admin.events.empty,Жодна подія не відповідає поточному фільтру.
admin.events.hide,Приховати корисне навантаження
admin.events.occurred,Сталося
admin.events.payload,Корисне навантаження
admin.events.redactionNotice,Секретні значення приховуються перед збереженням події.
admin.events.search,Пошук подій
admin.events.searchPlaceholder,"Фільтр за типом, агрегатом або суб'єктом"
admin.events.show,Показати корисне навантаження
admin.events.systemActor,Система
admin.events.title,Події аудиту
admin.events.type,Тип події
admin.impersonation.activeTitle,Active impersonation
admin.impersonation.actor,Administrator
admin.impersonation.assuranceRequired,Impersonating a user requires multi-factor authentication. Sign in again with a second factor to continue.
admin.impersonation.assuranceRequiredTitle,Stronger sign-in required
admin.impersonation.auditLink,View the audit events for this impersonation
admin.impersonation.bannerLabel,Impersonation in progress
admin.impersonation.bannerSummary,{actor} is acting as {subject}. This session ends in {remaining}.
admin.impersonation.description,"Act as another person for a short, recorded support session. A reason and a bounded duration are always required."
admin.impersonation.duration,Duration
admin.impersonation.durationHint,"Impersonation always ends automatically, after at most fifteen minutes."
admin.impersonation.durationInvalid,Choose a duration between one second and fifteen minutes.
admin.impersonation.durationMinutes,{count} minutes
admin.impersonation.end,End impersonation
admin.impersonation.endConfirm,End the impersonation of {subject} now?
admin.impersonation.endedNotice,The impersonation session was ended.
admin.impersonation.expires,Ends
admin.impersonation.expiringSoon,This impersonation ends in under a minute.
admin.impersonation.nestedRejected,You are already acting as another user. End the current impersonation before starting a new one.
admin.impersonation.nestedRejectedTitle,Nested impersonation is not allowed
admin.impersonation.noOrganization,No organization
admin.impersonation.organization,Organization
admin.impersonation.organizationHint,Optional. Restrict the session to the permissions the person holds in one organization.
admin.impersonation.permissionDenied,You do not have permission to impersonate users in this realm.
admin.impersonation.permissionDeniedTitle,Доступ недоступний
admin.impersonation.reason,Reason
admin.impersonation.reasonHint,Recorded in the audit trail and shown to the person you act as.
admin.impersonation.reasonRequired,Enter a reason between 3 and 256 characters.
admin.impersonation.remaining,Remaining
admin.impersonation.remainingValue,{minutes}:{seconds}
admin.impersonation.selfRejected,You cannot impersonate your own account.
admin.impersonation.start,Start impersonation
admin.impersonation.startConfirm,Start acting as {subject}? Everything you do will be recorded against your own identity.
admin.impersonation.startedAt,Started
admin.impersonation.startedNotice,You are now acting as {subject}.
admin.impersonation.subject,Acting as
admin.impersonation.target,User to impersonate
admin.impersonation.targetRequired,Choose the user you want to act as.
admin.impersonation.title,Impersonation
admin.impersonation.userAction,Impersonate this user
admin.machine.assuranceRequired,"Керування машинними користувачами та їхніми обліковими даними потребує надійнішого й новішого входу. Увійдіть знову, щоб продовжити."
admin.machine.assuranceRequiredTitle,Потрібен надійніший вхід
admin.machine.created,Створено
admin.machine.credentials.apiKeyCreated,Ключ API видано.
admin.machine.credentials.description,"Облікові дані, які машинний користувач надає, щоб отримати токен доступу. Зберігаються лише їхні метадані, ніколи не значення."
admin.machine.credentials.empty,Цей машинний користувач ще не має облікових даних.
admin.machine.credentials.expires,Спливає
admin.machine.credentials.expiresHint,"Залиште порожнім, щоб видати облікові дані без терміну дії."
admin.machine.credentials.expiryInvalid,"Введіть дійсну дату завершення дії або залиште поле порожнім, щоб облікові дані не спливали."
admin.machine.credentials.expiryPast,Виберіть дату завершення дії в майбутньому.
admin.machine.credentials.issue,Видати облікові дані
admin.machine.credentials.issueDescription,Видайте персональний токен доступу або ключ API. Значення показується один раз і не може бути відновлене.
admin.machine.credentials.kind,Тип облікових даних
admin.machine.credentials.kindAccessToken,Токен доступу
admin.machine.credentials.kindApiKey,Ключ API
admin.machine.credentials.kindClientSecret,Секрет клієнта
admin.machine.credentials.kindHint,Персональний токен доступу діє безпосередньо від імені машинного користувача. Ключ API призначений для однієї інтеграції.
admin.machine.credentials.kindToken,Персональний токен доступу
admin.machine.credentials.name,Назва
admin.machine.credentials.nameRequired,"Введіть назву, щоб пізніше розпізнати ці облікові дані."
admin.machine.credentials.neverExpires,Не спливає
admin.machine.credentials.onceWarning,"Видане значення показується один раз. Збережіть його, перш ніж закрити це вікно; отримати його знову буде неможливо."
admin.machine.credentials.revoke,Відкликати
admin.machine.credentials.revokeConfirm,"Відкликати ці облікові дані? Усе, що їх використовує, одразу припинить працювати."
admin.machine.credentials.revoked,Облікові дані відкликано.
admin.machine.credentials.scopes,Області
admin.machine.credentials.scopesHint,"Розділяйте області пробілами або комами. Залиште порожнім, щоб успадкувати області машинного користувача."
admin.machine.credentials.stateActive,Активні
admin.machine.credentials.stateExpired,Прострочені
admin.machine.credentials.stateRevoked,Відкликані
admin.machine.credentials.subject,Машинний користувач
admin.machine.credentials.title,Облікові дані та токени
admin.machine.credentials.tokenCreated,Персональний токен доступу видано.
admin.machine.credentials.unnamed,Облікові дані без назви
admin.machine.crossTenant,Цей машинний користувач належить до іншого realm і тут недоступний.
admin.machine.lifecycle.activate,Активувати
admin.machine.lifecycle.deactivate,Деактивувати
admin.machine.lifecycle.description,Деактивація позбавляє всі облікові дані можливості проходити автентифікацію. Видалення є остаточним і його не можна скасувати.
admin.machine.lifecycle.remove,Видалити машинного користувача
admin.machine.lifecycle.removeConfirm,Видалити цього машинного користувача? Усі його облікові дані одразу припинять працювати і їх неможливо буде відновити.
admin.machine.lifecycle.title,Життєвий цикл
admin.machine.permissionDenied,Ви не маєте дозволу переглядати або змінювати машинних користувачів у цьому realm.
admin.machine.permissionDeniedTitle,Доступ недоступний
admin.machine.secret.acknowledge,Я зберіг секрет
admin.machine.secret.apiKeyTitle,Новий ключ API
admin.machine.secret.clientId,Ідентифікатор клієнта
admin.machine.secret.clientTitle,Новий секрет клієнта
admin.machine.secret.copied,Скопійовано в буфер обміну
admin.machine.secret.copy,Копіювати секрет
admin.machine.secret.copyFailed,Буфер обміну недоступний. Виділіть і скопіюйте значення вручну.
admin.machine.secret.description,Секрет клієнта дозволяє цьому машинному користувачеві обміняти свої облікові дані клієнта на токен доступу. Він зберігається лише для запису і може бути тільки замінений.
admin.machine.secret.once,"Це єдиний раз, коли показується значення для {name}. Збережіть його зараз; відновити його неможливо."
admin.machine.secret.redacted,Збережено та приховано
admin.machine.secret.rotate,Замінити секрет клієнта
admin.machine.secret.rotateConfirm,Ротувати клієнтський секрет? Поточний секрет одразу припинить працювати і його неможливо буде відновити.
admin.machine.secret.rotated,Секрет клієнта замінено.
admin.machine.secret.title,Секрет клієнта
admin.machine.secret.tokenTitle,Новий персональний токен доступу
admin.machine.secret.value,Значення секрету
admin.machine.status,Статус
admin.machine.statusValue.active,Активний
admin.machine.statusValue.inactive,Неактивний
admin.machine.statusValue.removed,Видалений
admin.machine.updated,Останнє оновлення
admin.machine.users.create,Створити машинного користувача
admin.machine.users.createDescription,Створіть нелюдську ідентичність для служби або інтеграції. Її секрет клієнта показується один раз.
admin.machine.users.createSecretHint,Ідентифікатор клієнта та секрет клієнта видаються негайно. Секрет показується один раз і не може бути відновлений.
admin.machine.users.created,Машинного користувача створено.
admin.machine.users.description,"Нелюдські ідентичності, які автентифікуються в цьому realm за допомогою облікових даних клієнта, токенів або ключів API."
admin.machine.users.detailTitle,Відомості про машинного користувача
admin.machine.users.displayName,Відображуване ім'я
admin.machine.users.empty,У цьому realm ще немає машинних користувачів.
admin.machine.users.identifier,Ідентифікатор машинного користувача
admin.machine.users.invalid,Введіть відображуване ім'я та ім'я користувача й використовуйте лише дійсні значення областей.
admin.machine.users.lifecycleChanged,Статус машинного користувача змінено.
admin.machine.users.missingId,Для цього розділу потрібно вибрати машинного користувача.
admin.machine.users.noScopes,Немає областей
admin.machine.users.scopes,Області
admin.machine.users.scopesHint,Розділяйте області пробілами або комами. Області зіставляються точно.
admin.machine.users.search,Пошук машинних користувачів
admin.machine.users.title,Машинні користувачі
admin.machine.users.userName,Ім'я користувача
admin.machine.users.userNameHint,Використовується як ідентифікатор клієнта під час обміну облікових даних клієнта.
admin.navigation.description,Choose an administration resource
admin.navigation.hide,Hide sidebar
admin.navigation.label,Адміністрування
admin.navigation.title,Administration navigation
admin.oidc.assuranceRequired,"Керування налаштуваннями OpenID Connect потребує надійнішого та новішого входу. Увійдіть знову, щоб продовжити."
admin.oidc.assuranceRequiredTitle,Потрібен надійніший вхід
admin.oidc.clients.consent,Згода
admin.oidc.clients.consentRequired,Потрібна
admin.oidc.clients.consentSkipped,Не потрібна
admin.oidc.clients.create,Зареєструвати клієнта
admin.oidc.clients.createDescription,"Зареєструйте застосунок, який виконує вхід людей через OpenID Connect. Конфіденційний клієнт отримує секрет один раз."
admin.oidc.clients.created,Клієнта зареєстровано.
admin.oidc.clients.description,"Застосунки, які автентифікують людей через OpenID Connect у цій області."
admin.oidc.clients.detailTitle,Відомості про клієнта OIDC
admin.oidc.clients.empty,У цій області ще не зареєстровано жодного клієнта OpenID Connect.
admin.oidc.clients.exactMatchHint,"По одному URI в рядку. Кожне перенаправлення звіряється точно, тому символи підстановки та відмінності в закінченні відхиляються."
admin.oidc.clients.identifier,Ідентифікатор клієнта
admin.oidc.clients.invalid,"Введіть назву клієнта, щонайменше один точний URI переспрямування та щонайменше одну область."
admin.oidc.clients.lifecycleChanged,Стан клієнта змінено.
admin.oidc.clients.missingId,Для цього розділу потрібно вибрати клієнта OIDC.
admin.oidc.clients.name,Назва клієнта
admin.oidc.clients.postLogoutUris,URI перенаправлення після виходу
admin.oidc.clients.redirectUris,URI перенаправлення
admin.oidc.clients.removeConfirm,"Видалити цього клієнта OIDC? Застосунки, що його використовують, одразу припинять працювати."
admin.oidc.clients.requireConsent,Просити людину підтвердити цей застосунок
admin.oidc.clients.saved,Клієнта збережено.
admin.oidc.clients.scopes,Дозволені області доступу
admin.oidc.clients.search,Пошук клієнтів
admin.oidc.clients.settingsDescription,"Керуйте назвою клієнта, точними URI перенаправлення, дозволеними областями доступу та обробкою згоди."
admin.oidc.clients.settingsTitle,Налаштування клієнта
admin.oidc.clients.statusValue.active,Активна
admin.oidc.clients.statusValue.inactive,Неактивний
admin.oidc.clients.statusValue.removed,Видалена
admin.oidc.clients.title,Клієнти OpenID Connect
admin.oidc.clients.trusted,Довірений
admin.oidc.clients.trustedHint,Довірений клієнт повністю пропускає екран згоди. Позначайте довіреними лише власні застосунки.
admin.oidc.clients.type,Тип клієнта
admin.oidc.clients.typeConfidential,Конфіденційний
admin.oidc.clients.typeHint,"Конфіденційний клієнт зберігає секрет на сервері. Публічний клієнт, як-от мобільний або односторінковий застосунок, цього не може."
admin.oidc.clients.typePublic,Публічний
admin.oidc.confirmTitle,Підтвердьте цю зміну
admin.oidc.consents.client,Застосунок
admin.oidc.consents.description,"Застосунки, які людина підтвердила. Відкликання згоди призведе до повторного запиту підтвердження застосунку."
admin.oidc.consents.empty,Ця людина ще не підтвердила жодного застосунку.
admin.oidc.consents.granted,Підтверджено
admin.oidc.consents.revokeConfirm,Відкликати цю згоду? Особу знову попросять схвалити застосунок.
admin.oidc.consents.revoked,Згоду відкликано.
admin.oidc.consents.title,Згоди застосунків
admin.oidc.consents.user,Людина
admin.oidc.created,Створено
admin.oidc.crossTenant,Цей ресурс належить до іншої області й тут недоступний.
admin.oidc.documents.authorizationEndpoint,Кінцева точка авторизації
admin.oidc.documents.copied,Скопійовано
admin.oidc.documents.copy,Копіювати документ
admin.oidc.documents.description,"Документи протоколу, які Authworks публікує для цієї області, саме в тому вигляді, у якому їх читає клієнтська бібліотека."
admin.oidc.documents.discoveryDescription,"Метадані постачальника OpenID, що надаються з кінцевої точки well-known."
admin.oidc.documents.discoveryTitle,Документ виявлення
admin.oidc.documents.empty,Для цієї області ще не опубліковано документів протоколу.
admin.oidc.documents.endSessionEndpoint,Кінцева точка завершення сеансу
admin.oidc.documents.issuer,Видавець
admin.oidc.documents.jwksDescription,"Відкриті ключі, які перевіряють токени, видані цією областю."
admin.oidc.documents.jwksTitle,Набір вебключів JSON
admin.oidc.documents.jwksUri,URI JWKS
admin.oidc.documents.open,Відкрити кінцеву точку
admin.oidc.documents.readOnly,Ці документи формуються з конфігурації області та ключів підпису. Їх не можна редагувати тут.
admin.oidc.documents.showRaw,Показати вихідний документ
admin.oidc.documents.title,Документи протоколу
admin.oidc.documents.tokenEndpoint,Кінцева точка токена
admin.oidc.documents.userinfoEndpoint,Кінцева точка userinfo
admin.oidc.keys.algorithm,Алгоритм
admin.oidc.keys.create,Додати ключ
admin.oidc.keys.created,Опубліковано новий ключ підпису.
admin.oidc.keys.description,"Ключі, якими підписуються токени цієї області. Ротація публікує новий ключ і виводить поточний з обігу."
admin.oidc.keys.empty,Для цієї області ще немає ключів підпису.
admin.oidc.keys.keyId,Ідентифікатор ключа
admin.oidc.keys.privateNotice,Показуються лише метадані відкритого ключа. Закритий ключ ніколи не надсилається до браузера.
admin.oidc.keys.retire,Вивести з обігу
admin.oidc.keys.retireConfirm,"Вивести цей ключ підписування з експлуатації? Токени, підписані ним, неможливо буде перевірити після його видалення з JWKS."
admin.oidc.keys.retired,Ключ підпису виведено з обігу.
admin.oidc.keys.retiredAt,Виведено з обігу
admin.oidc.keys.rotate,Ротувати ключ
admin.oidc.keys.rotateConfirm,"Ротувати ключ підписування? Новий ключ буде опубліковано, а поточний виведено з обігу."
admin.oidc.keys.rotated,Ключ підпису ротовано.
admin.oidc.keys.statusValue.active,Активна
admin.oidc.keys.statusValue.retired,Виведений з обігу
admin.oidc.keys.title,Ключі підпису
admin.oidc.lifecycle.activate,Активувати
admin.oidc.lifecycle.deactivate,Деактивувати
admin.oidc.lifecycle.remove,Видалити клієнта
admin.oidc.permissionDenied,У вас немає дозволу переглядати або змінювати налаштування OpenID Connect у цій області.
admin.oidc.permissionDeniedTitle,Доступ недоступний
admin.oidc.secret.acknowledge,Я зберіг секрет
admin.oidc.secret.copied,Скопійовано до буфера обміну
admin.oidc.secret.copy,Копіювати секрет
admin.oidc.secret.copyFailed,Буфер обміну недоступний. Виділіть і скопіюйте значення вручну.
admin.oidc.secret.createdTitle,Новий секрет клієнта
admin.oidc.secret.description,"Збережений секрет клієнта більше ніколи не показується. Ротуйте його, щоб видати новий, або відкличте, щоб клієнт не міг пройти автентифікацію."
admin.oidc.secret.once,"Це єдиний раз, коли показується секрет для {client}. Збережіть його зараз; відновити його неможливо."
admin.oidc.secret.publicClient,"Публічний клієнт проходить автентифікацію без секрету, тому ротувати нічого."
admin.oidc.secret.redacted,Збережено та приховано
admin.oidc.secret.revoke,Відкликати секрет
admin.oidc.secret.revokeConfirm,"Відкликати клієнтський секрет? Клієнт не зможе автентифікуватися, доки не буде видано новий."
admin.oidc.secret.revoked,Секрет клієнта відкликано.
admin.oidc.secret.rotate,Ротувати секрет
admin.oidc.secret.rotateConfirm,Ротувати клієнтський секрет? Поточний секрет одразу припинить працювати.
admin.oidc.secret.rotated,Секрет клієнта ротовано.
admin.oidc.secret.rotatedTitle,Ротований секрет клієнта
admin.oidc.secret.title,Секрет клієнта
admin.oidc.status,Стан
admin.oidc.updated,Останнє оновлення
admin.organizations.assuranceRequired,"Увійдіть знову за допомогою надійнішого методу автентифікації, щоб змінити це налаштування організації."
admin.organizations.assuranceRequiredTitle,Потрібен надійніший вхід
admin.organizations.branding.background,Колір тла
admin.organizations.branding.dark,Темна тема
admin.organizations.branding.description,"Кольори, логотипи та правові посилання, що відображаються на розміщених сторінках входу та облікового запису."
admin.organizations.branding.font,Колір тексту
admin.organizations.branding.iconUrl,URL піктограми
admin.organizations.branding.light,Світла тема
admin.organizations.branding.logoUrl,URL логотипа
admin.organizations.branding.preview,Попередній перегляд
admin.organizations.branding.primary,Основний колір
admin.organizations.branding.privacyUrl,URL політики конфіденційності
admin.organizations.branding.saved,Оформлення збережено.
admin.organizations.branding.termsUrl,URL умов надання послуг
admin.organizations.branding.themeMode,Тема за замовчуванням
admin.organizations.branding.title,Оформлення
admin.organizations.branding.warn,Колір попередження
admin.organizations.branding.watermark,Приховати водяний знак Authworks
admin.organizations.detail.created,Створено
admin.organizations.detail.realm,Realm
admin.organizations.detail.settingsDescription,Керуйте назвою організації та її статусом життєвого циклу.
