key,zh
admin.machine.credentials.expiresHint,留空可签发不会过期的凭据。
admin.machine.credentials.expiryInvalid,请输入有效的到期日期，或留空以创建永不过期的凭据。
admin.machine.credentials.expiryPast,请选择将来的到期日期。
admin.machine.credentials.issue,签发凭据
admin.machine.credentials.issueDescription,签发个人访问令牌或 API 密钥。凭据值仅显示一次且无法恢复。
admin.machine.credentials.kind,凭据类型
admin.machine.credentials.kindAccessToken,访问令牌
admin.machine.credentials.kindApiKey,API 密钥
admin.machine.credentials.kindClientSecret,客户端密钥
admin.machine.credentials.kindHint,个人访问令牌直接代表机器用户执行操作。API 密钥用于单个集成。
admin.machine.credentials.kindToken,个人访问令牌
admin.machine.credentials.name,名称
admin.machine.credentials.nameRequired,请输入名称，以便日后识别此凭据。
admin.machine.credentials.neverExpires,不会过期
admin.machine.credentials.onceWarning,签发的凭据值仅显示一次。请在关闭此对话框前妥善保存；之后无法再次获取。
admin.machine.credentials.revoke,吊销
admin.machine.credentials.revokeConfirm,吊销此凭据？使用它的所有内容将立即失效。
admin.machine.credentials.revoked,该凭据已被吊销。
admin.machine.credentials.scopes,作用域
admin.machine.credentials.scopesHint,使用空格或逗号分隔作用域。留空则继承机器用户的作用域。
admin.machine.credentials.stateActive,有效
admin.machine.credentials.stateExpired,已过期
admin.machine.credentials.stateRevoked,已吊销
admin.machine.credentials.subject,机器用户
admin.machine.credentials.title,凭据与令牌
admin.machine.credentials.tokenCreated,个人访问令牌已签发。
admin.machine.credentials.unnamed,未命名凭据
admin.machine.crossTenant,此机器用户属于其他 realm，在此不可用。
admin.machine.lifecycle.activate,启用
admin.machine.lifecycle.deactivate,停用
admin.machine.lifecycle.description,停用后所有凭据都无法再进行身份验证。删除是永久性的且无法撤销。
admin.machine.lifecycle.remove,删除机器用户
admin.machine.lifecycle.removeConfirm,移除此机器用户？其拥有的所有凭据将立即失效且无法恢复。
admin.machine.lifecycle.title,生命周期
admin.machine.pageNext,下一页
admin.machine.pagePrevious,上一页
admin.machine.permissionDenied,您没有权限查看或更改此 realm 中的机器用户。
admin.machine.permissionDeniedTitle,无法访问
admin.machine.secret.acknowledge,我已保存该密钥
admin.machine.secret.apiKeyTitle,新的 API 密钥
admin.machine.secret.clientId,客户端 ID
admin.machine.secret.clientTitle,新的客户端密钥
admin.machine.secret.copied,已复制到剪贴板
admin.machine.secret.copy,复制密钥
admin.machine.secret.copyFailed,剪贴板不可用。请手动选择并复制该值。
admin.machine.secret.description,客户端密钥使该机器用户能够用其客户端凭据换取访问令牌。它以只写方式存储，只能轮换。
admin.machine.secret.once,这是 {name} 的值唯一一次显示。请立即保存；之后无法恢复。
admin.machine.secret.redacted,已存储并隐藏
admin.machine.secret.rotate,轮换客户端密钥
admin.machine.secret.rotateConfirm,轮换此客户端密钥？当前密钥将立即失效且无法找回。
admin.machine.secret.rotated,客户端密钥已轮换。
admin.machine.secret.title,客户端密钥
admin.machine.secret.tokenTitle,新的个人访问令牌
admin.machine.secret.value,密钥值
admin.machine.status,状态
admin.machine.updated,最后更新
admin.machine.users.create,创建机器用户
admin.machine.users.createDescription,为服务或集成创建非人类身份。其客户端密钥仅显示一次。
admin.machine.users.createSecretHint,系统会立即签发客户端 ID 和客户端密钥。该密钥仅显示一次且无法恢复。
admin.machine.users.created,机器用户已创建。
admin.machine.users.description,在此 realm 中使用客户端凭据、令牌或 API 密钥进行身份验证的非人类身份。
admin.machine.users.detailTitle,机器用户详情
admin.machine.users.displayName,显示名称
admin.machine.users.empty,此 realm 中尚不存在机器用户。
admin.machine.users.invalid,请输入显示名称和用户名，并且仅使用有效的作用域值。
admin.machine.users.lifecycleChanged,机器用户的状态已更改。
admin.machine.users.missingId,此目的地必须选择机器用户。
admin.machine.users.noScopes,无作用域
admin.machine.users.scopes,作用域
admin.machine.users.scopesHint,使用空格或逗号分隔作用域。作用域按完全匹配进行比较。
admin.machine.users.search,搜索机器用户
admin.machine.users.title,机器用户
admin.machine.users.userName,用户名
admin.machine.users.userNameHint,在交换客户端凭据时用作客户端 ID。
admin.navigation.description,Choose an administration resource
admin.navigation.hide,Hide sidebar
admin.navigation.label,管理
admin.navigation.title,Administration navigation
admin.oidc.assuranceRequired,管理 OpenID Connect 设置需要更强、更近期的登录。请重新登录以继续。
admin.oidc.assuranceRequiredTitle,需要更强的登录方式
admin.oidc.clients.consent,授权
admin.oidc.clients.consentRequired,必需
admin.oidc.clients.consentSkipped,不必需
admin.oidc.clients.create,注册客户端
admin.oidc.clients.createDescription,注册一个通过 OpenID Connect 让用户登录的应用。机密客户端只会获得一次密钥。
admin.oidc.clients.created,客户端已注册。
admin.oidc.clients.description,在此域中通过 OpenID Connect 验证用户身份的应用。
admin.oidc.clients.detailTitle,OIDC 客户端详情
admin.oidc.clients.empty,此域中尚未注册任何 OpenID Connect 客户端。
admin.oidc.clients.exactMatchHint,每行一个 URI。每个重定向都按完全匹配进行校验，因此通配符和结尾差异都会被拒绝。
admin.oidc.clients.invalid,请输入客户端名称、至少一个精确的重定向 URI 和至少一个作用域。
admin.oidc.clients.lifecycleChanged,客户端状态已更改。
admin.oidc.clients.missingId,此目的地必须选择 OIDC 客户端。
admin.oidc.clients.name,客户端名称
admin.oidc.clients.postLogoutUris,登出后重定向 URI
admin.oidc.clients.redirectUris,重定向 URI
admin.oidc.clients.removeConfirm,移除此 OIDC 客户端？使用它的应用将立即无法工作。
admin.oidc.clients.requireConsent,要求用户批准此应用
admin.oidc.clients.saved,客户端已保存。
admin.oidc.clients.scopes,允许的范围
admin.oidc.clients.search,搜索客户端
admin.oidc.clients.settingsDescription,控制客户端名称、完全匹配的重定向 URI、允许的范围以及授权的处理方式。
admin.oidc.clients.settingsTitle,客户端设置
admin.oidc.clients.title,OpenID Connect 客户端
admin.oidc.clients.trusted,受信任
admin.oidc.clients.trustedHint,受信任的客户端会完全跳过授权界面。请仅将自有应用标记为受信任。
admin.oidc.clients.type,客户端类型
admin.oidc.clients.typeConfidential,机密
admin.oidc.clients.typeHint,机密客户端在服务器上保存密钥。公共客户端（例如移动应用或单页应用）无法做到这一点。
admin.oidc.clients.typePublic,公共
admin.oidc.confirmTitle,确认此更改
admin.oidc.consents.client,应用
admin.oidc.consents.description,用户已批准的应用。撤销授权后，系统会再次要求其批准该应用。
admin.oidc.consents.empty,此用户尚未批准任何应用。
admin.oidc.consents.granted,批准时间
admin.oidc.consents.revokeConfirm,撤销此同意？将再次请求用户批准该应用。
admin.oidc.consents.revoked,授权已撤销。
admin.oidc.consents.title,应用授权
admin.oidc.consents.user,用户
admin.oidc.created,创建时间
admin.oidc.crossTenant,此资源属于其他域，在此处不可用。
admin.oidc.documents.authorizationEndpoint,授权端点
admin.oidc.documents.copied,已复制
admin.oidc.documents.copy,复制文档
admin.oidc.documents.description,Authworks 为此域发布的协议文档，与客户端库读取到的内容完全一致。
admin.oidc.documents.discoveryDescription,从 well-known 端点提供的 OpenID 提供方元数据。
admin.oidc.documents.discoveryTitle,发现文档
admin.oidc.documents.empty,此域尚未发布协议文档。
admin.oidc.documents.endSessionEndpoint,结束会话端点
admin.oidc.documents.issuer,颁发者
admin.oidc.documents.jwksDescription,用于验证此域所颁发令牌的公钥。
admin.oidc.documents.jwksTitle,JSON Web 密钥集
admin.oidc.documents.jwksUri,JWKS URI
admin.oidc.documents.open,打开端点
admin.oidc.documents.readOnly,这些文档由域配置和签名密钥生成，无法在此处编辑。
admin.oidc.documents.showRaw,显示原始文档
admin.oidc.documents.title,协议文档
admin.oidc.documents.tokenEndpoint,令牌端点
admin.oidc.documents.userinfoEndpoint,userinfo 端点
admin.oidc.keys.algorithm,算法
admin.oidc.keys.create,添加密钥
admin.oidc.keys.created,已发布新的签名密钥。
admin.oidc.keys.description,为此域的令牌签名的密钥。轮换会发布新密钥并停用当前密钥。
admin.oidc.keys.empty,此域尚不存在签名密钥。
admin.oidc.keys.keyId,密钥 ID
admin.oidc.keys.privateNotice,仅显示公钥元数据。私钥内容绝不会发送到浏览器。
admin.oidc.keys.retire,停用
admin.oidc.keys.retireConfirm,停用此签名密钥？一旦它离开 JWKS，用它签发的令牌将无法再被验证。
admin.oidc.keys.retired,签名密钥已停用。
admin.oidc.keys.retiredAt,停用时间
admin.oidc.keys.rotate,轮换密钥
admin.oidc.keys.rotateConfirm,轮换签名密钥？将发布新密钥并停用当前密钥。
admin.oidc.keys.rotated,签名密钥已轮换。
admin.oidc.keys.title,签名密钥
admin.oidc.lifecycle.activate,启用
admin.oidc.lifecycle.deactivate,停用
admin.oidc.lifecycle.remove,移除客户端
admin.oidc.pageNext,下一页
admin.oidc.pagePrevious,上一页
admin.oidc.permissionDenied,您没有权限查看或更改此域的 OpenID Connect 设置。
admin.oidc.permissionDeniedTitle,无法访问
admin.oidc.secret.acknowledge,我已保存该密钥
admin.oidc.secret.copied,已复制到剪贴板
admin.oidc.secret.copy,复制密钥
admin.oidc.secret.copyFailed,剪贴板不可用。请手动选择并复制该值。
admin.oidc.secret.createdTitle,新的客户端密钥
admin.oidc.secret.description,已保存的客户端密钥不会再次显示。轮换以颁发新密钥，或撤销以阻止该客户端进行身份验证。
admin.oidc.secret.once,{client} 的密钥仅在此刻显示这一次。请立即保存；该密钥无法恢复。
admin.oidc.secret.publicClient,公共客户端无需密钥即可完成身份验证，因此没有可轮换的内容。
admin.oidc.secret.redacted,已保存并隐藏
admin.oidc.secret.revoke,撤销密钥
admin.oidc.secret.revokeConfirm,吊销此客户端密钥？在签发新密钥之前，客户端将无法进行身份验证。
admin.oidc.secret.revoked,客户端密钥已撤销。
admin.oidc.secret.rotate,轮换密钥
admin.oidc.secret.rotateConfirm,轮换此客户端密钥？当前密钥将立即失效。
admin.oidc.secret.rotated,客户端密钥已轮换。
admin.oidc.secret.rotatedTitle,已轮换的客户端密钥
admin.oidc.secret.title,客户端密钥
admin.oidc.status,状态
admin.oidc.updated,最近更新
admin.organizations.assuranceRequired,请使用更强的身份验证方式重新登录，才能更改此组织设置。
admin.organizations.assuranceRequiredTitle,需要更强的登录方式
admin.organizations.branding.background,背景色
admin.organizations.branding.dark,深色主题
admin.organizations.branding.description,在托管的登录和账户页面上显示的颜色、徽标和法律链接。
admin.organizations.branding.font,文本颜色
admin.organizations.branding.iconUrl,图标 URL
admin.organizations.branding.light,浅色主题
admin.organizations.branding.logoUrl,徽标 URL
admin.organizations.branding.preview,预览
admin.organizations.branding.primary,主色
admin.organizations.branding.privacyUrl,隐私政策 URL
admin.organizations.branding.saved,品牌外观已保存。
admin.organizations.branding.termsUrl,服务条款 URL
admin.organizations.branding.themeMode,默认主题
admin.organizations.branding.title,品牌外观
admin.organizations.branding.warn,警告色
admin.organizations.branding.watermark,隐藏 Authworks 水印
admin.organizations.detail.created,创建时间
admin.organizations.detail.realm,领域
admin.organizations.detail.settingsDescription,管理组织名称及其生命周期状态。
admin.organizations.detail.settingsTitle,组织设置
admin.organizations.detail.updated,最近更新
admin.organizations.detailTitle,组织详情
admin.organizations.domains.claim,认领域名
admin.organizations.domains.claimed,{domain} 已认领，正在等待验证。
admin.organizations.domains.description,已验证的域名可让用户通过其电子邮件地址找到此组织。
admin.organizations.domains.discovery,识别预览
admin.organizations.domains.discoveryDescription,查看某个域名在登录时当前解析到哪个组织。
admin.organizations.domains.discoveryFound,{domain} 解析到 {organization}。
admin.organizations.domains.discoveryMissing,{domain} 未解析到任何组织。
admin.organizations.domains.domain,域名
admin.organizations.domains.empty,此组织尚未认领任何域名。
admin.organizations.domains.invalid,请输入有效的域名。
admin.organizations.domains.placeholder,example.com
admin.organizations.domains.primary,主域名
admin.organizations.domains.remove,移除域名
admin.organizations.domains.removeConfirm,移除域名 {domain}？针对它的组织发现将立即停止。
admin.organizations.domains.removed,域名已移除。
admin.organizations.domains.title,域名与识别
admin.organizations.domains.unverified,等待验证
admin.organizations.domains.verificationRecord,添加此 DNS TXT 记录，然后进行验证。
admin.organizations.domains.verified,Verified
admin.organizations.domains.verify,验证域名
admin.organizations.domains.verifyDone,域名已验证。
admin.organizations.invitations.create,邀请他人
admin.organizations.invitations.description,通过电子邮件邀请他人，并跟踪哪些邀请仍待处理。
admin.organizations.invitations.email,Email address
admin.organizations.invitations.emailInvalid,请输入有效的电子邮件地址。
admin.organizations.invitations.empty,尚未为此组织发送任何邀请。
admin.organizations.invitations.expires,过期时间
admin.organizations.invitations.revoke,撤销邀请
admin.organizations.invitations.revokeConfirm,撤销 {email} 的邀请？邀请链接将立即失效。
admin.organizations.invitations.revoked,邀请已撤销。
admin.organizations.invitations.rolesInvalid,请选择一到四个角色。
admin.organizations.invitations.sent,邀请已创建。
admin.organizations.invitations.statusValue.accepted,已接受
admin.organizations.invitations.statusValue.declined,已拒绝
admin.organizations.invitations.statusValue.expired,已过期
admin.organizations.invitations.statusValue.pending,待处理
admin.organizations.invitations.statusValue.revoked,已吊销
admin.organizations.invitations.title,邀请
admin.organizations.invitations.tokenDismiss,我已保存此链接
admin.organizations.invitations.tokenOnce,此邀请链接仅显示一次。请与您邀请的人分享。
admin.organizations.invitations.tokenTitle,邀请链接
admin.organizations.lifecycle.activate,重新激活组织
admin.organizations.lifecycle.activateConfirm,重新激活此组织？在组织未启用期间成员将失去访问权限。
admin.organizations.lifecycle.changed,组织的生命周期状态已更改。
admin.organizations.lifecycle.deactivate,停用组织
admin.organizations.lifecycle.deactivateConfirm,停用此组织？在组织未启用期间成员将失去访问权限。
admin.organizations.lifecycle.remove,移除组织
admin.organizations.lifecycle.removeConfirm,移除此组织？在组织未启用期间成员将失去访问权限。
admin.organizations.list.create,创建组织
admin.organizations.list.description,组织将此领域的人员、域名和品牌外观归为一组。
admin.organizations.list.empty,此领域中尚不存在任何组织。
admin.organizations.list.name,组织名称
admin.organizations.list.nameRequired,请输入组织名称。
admin.organizations.list.search,搜索组织
admin.organizations.list.title,组织
admin.organizations.memberships.add,添加成员
admin.organizations.memberships.added,成员已添加。
admin.organizations.memberships.description,此组织中的人员及分配给他们的固定角色。
admin.organizations.memberships.empty,此组织尚无成员。
admin.organizations.memberships.invalid,请输入用户 ID 并选择一到四个角色。
admin.organizations.memberships.remove,移除成员
admin.organizations.memberships.removeConfirm,从组织中移除 {userId}？其对组织的访问将立即终止。
admin.organizations.memberships.removed,成员已移除。
admin.organizations.memberships.roles,角色
admin.organizations.memberships.rolesFixed,角色由 Authworks 固定，无法重命名。
admin.organizations.memberships.title,成员与角色
admin.organizations.memberships.updated,成员角色已更新。
admin.organizations.memberships.user,用户
admin.organizations.memberships.userId,用户 ID
admin.organizations.pageNext,下一页
admin.organizations.pagePrevious,上一页
admin.organizations.permissionDenied,您没有权限查看或更改此组织。
admin.organizations.permissionDeniedTitle,无法访问
admin.organizations.policy.description,选择用户可以使用哪些登录方式，以及显示哪些已配置的提供方。
admin.organizations.policy.domainDiscovery,通过电子邮件域名识别组织
admin.organizations.policy.emailOtp,电子邮件一次性验证码
admin.organizations.policy.externalIdentity,外部身份提供方
admin.organizations.policy.inherited,继承自领域
admin.organizations.policy.passkey,Passkeys
admin.organizations.policy.password,密码
admin.organizations.policy.passwordRecovery,密码恢复
admin.organizations.policy.registration,自助注册
admin.organizations.policy.saved,登录策略已保存。
admin.organizations.policy.title,登录策略
admin.organizations.providers.allowAccountCreation,自动为新用户创建账户
admin.organizations.providers.clientId,客户端 ID
admin.organizations.providers.clientSecret,客户端密钥
admin.organizations.providers.create,添加提供方
admin.organizations.providers.created,提供方已配置。
admin.organizations.providers.description,为此组织配置的 Google、GitHub 和 Microsoft 提供方。
admin.organizations.providers.disable,禁用提供方
admin.organizations.providers.disableConfirm,禁用 {displayName}？用户将无法继续使用此提供者登录。
admin.organizations.providers.disabled,提供方已禁用。
admin.organizations.providers.displayName,Display name
admin.organizations.providers.empty,尚未配置任何外部身份提供方。
admin.organizations.providers.invalid,请输入显示名称、客户端 ID、客户端密钥和绝对重定向 URI。
admin.organizations.providers.redirectUri,重定向 URI
admin.organizations.providers.rotateSecret,替换客户端密钥
admin.organizations.providers.secretRotated,客户端密钥已替换。
admin.organizations.providers.secretWriteOnly,已保存的客户端密钥永不显示。输入新值以替换它。
admin.organizations.providers.title,身份提供方
admin.organizations.providers.type,提供方
admin.organizations.providers.updated,提供方已更新。
admin.organizations.renamed,组织已重命名。
admin.organizations.status,状态
admin.organizations.statusValue.active,启用中
admin.organizations.statusValue.inactive,未激活
admin.organizations.statusValue.removed,已移除
admin.overview.description,您正在管理的领域的标识、域名和生命周期。
admin.overview.sessionTitle,管理员会话
admin.overview.title,领域概览
admin.projects.access.description,该管理员当前在此项目上实际拥有的角色。
admin.projects.access.empty,在当前组织上下文中没有生效的项目角色。
admin.projects.access.grantedOrganization,通过组织授予
admin.projects.access.permissionDescription,固定角色及其权限由 Authworks 定义，无法编辑。
admin.projects.access.permissionTitle,固定角色与权限
admin.projects.access.roleKeys,有效的项目角色
admin.projects.access.title,有效访问权限
admin.projects.applications.create,添加应用
admin.projects.applications.description,针对此项目进行身份验证的应用。
admin.projects.applications.empty,此项目尚无任何应用。
admin.projects.applications.invalid,请输入应用名称并选择类型。
admin.projects.applications.name,应用名称
admin.projects.applications.removeConfirm,移除此应用？此操作无法撤消。
admin.projects.applications.title,应用
admin.projects.applications.type,应用类型
admin.projects.crossTenant,此资源属于其他领域，在此不可用。
admin.projects.deleteConfirm,删除此项目？应用、角色和授权将一并被删除。
admin.projects.detail.authorizationRequired,需要授权
admin.projects.detail.created,创建时间
admin.projects.detail.organization,组织
admin.projects.detail.projectAccessRequired,需要项目访问权限
admin.projects.detail.settingsDescription,管理项目名称以及访问的强制方式。
admin.projects.detail.settingsTitle,项目设置
admin.projects.detail.updated,最近更新
admin.projects.detailTitle,项目详情
admin.projects.grants.create,授予组织访问权限
admin.projects.grants.description,授予另一个组织访问此项目的权限，并选择其获得的角色。
